Unnamed: 0,KAN,LAC,week,year,game_id
First Downs,12,22,18.0,2023,269
Rush-Yds-TDs,28-123-0,30-118-0,18.0,2023,269
Cmp-Att-Yd-TD-INT,15-30-154-0-1,28-47-258-0-0,18.0,2023,269
Sacked-Yards,1-9,3-23,18.0,2023,269
Net Pass Yards,145,235,18.0,2023,269
Total Yards,268,353,18.0,2023,269
Fumbles-Lost,1-0,2-1,18.0,2023,269
Turnovers,1,1,18.0,2023,269
Penalties-Yards,3-57,1-5,18.0,2023,269
Third Down Conv.,6-16,7-19,18.0,2023,269
Fourth Down Conv.,1-1,2-3,18.0,2023,269
Time of Possession,27:05,32:55,18.0,2023,269
