Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,18.0,2023,266
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 64 yards, returned by Greg Dortch for 17 yards (tackle by Nick Bellore and Ty Okada)",0.0,0.04,18.0,2023,266
1.0,14:56,1.0,10.0,ARI 18,0.0,0.0,James Conner up the middle for no gain (tackle by Bobby Wagner and Jordyn Brooks),0.04,-0.49,18.0,2023,266
1.0,14:15,2.0,10.0,ARI 18,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 25 yards (tackle by Quandre Diggs),-0.49,1.8,18.0,2023,266
1.0,13:30,1.0,10.0,ARI 43,0.0,0.0,James Conner right tackle for 2 yards (tackle by Dre'Mont Jones),1.8,1.52,18.0,2023,266
1.0,12:50,2.0,8.0,ARI 45,0.0,0.0,James Conner up the middle for 7 yards (tackle by Riq Woolen and Darrell Taylor),1.52,1.75,18.0,2023,266
1.0,12:17,3.0,1.0,SEA 48,0.0,0.0,Clayton Tune up the middle for 1 yard (tackle by Bobby Wagner),1.75,2.46,18.0,2023,266
1.0,11:23,1.0,10.0,SEA 47,0.0,0.0,Kyler Murray pass incomplete deep left intended for Trey McBride (defended by Jordyn Brooks),2.46,1.91,18.0,2023,266
1.0,11:14,2.0,10.0,SEA 47,0.0,0.0,Kyler Murray pass incomplete short middle,1.91,1.22,18.0,2023,266
1.0,11:09,3.0,10.0,SEA 47,0.0,0.0,"Penalty on Elijah Wilkinson: False Start, 5 yards (accepted) (no play)",1.22,0.56,18.0,2023,266
1.0,11:09,3.0,15.0,ARI 48,0.0,0.0,Kyler Murray pass incomplete deep left intended for Trey McBride,0.56,-0.19,18.0,2023,266
1.0,11:05,4.0,15.0,ARI 48,0.0,0.0,Blake Gillikin punts 45 yards downed by Zeke Turner,-0.19,0.38,18.0,2023,266
1.0,10:54,1.0,10.0,SEA 7,0.0,0.0,Kenneth Walker up the middle for 1 yard (tackle by Budda Baker),-0.38,-0.71,18.0,2023,266
1.0,10:28,2.0,9.0,SEA 8,0.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 10 yards (tackle by Starling Thomas),-0.71,0.04,18.0,2023,266
1.0,9:54,1.0,10.0,SEA 18,0.0,0.0,Kenneth Walker up the middle for 12 yards (tackle by Budda Baker),0.04,0.94,18.0,2023,266
1.0,9:18,1.0,10.0,SEA 30,0.0,0.0,Geno Smith pass complete short right to Jake Bobo for 9 yards (tackle by Dennis Gardeck and Budda Baker),0.94,1.61,18.0,2023,266
1.0,8:39,2.0,1.0,SEA 39,0.0,0.0,Kenneth Walker up the middle for 3 yards (tackle by Budda Baker and Leki Fotu),1.61,1.73,18.0,2023,266
