Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,18.0,2023,263
1.0,15:00,,,TEN 35,0.0,0.0,"Ty Zentner kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,263
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Travis Etienne left end for no gain (tackle by K'Von Wallace and Azeez Al-Shaair),0.61,0.06,18.0,2023,263
1.0,14:19,2.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by K'Von Wallace and Azeez Al-Shaair),0.06,1.27,18.0,2023,263
1.0,13:46,1.0,10.0,JAX 35,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Travis Etienne (defended by Arden Key),1.27,0.72,18.0,2023,263
1.0,13:42,2.0,10.0,JAX 35,0.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Marlon Davidson),0.72,0.7,18.0,2023,263
1.0,13:00,3.0,5.0,JAX 40,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Azeez Al-Shaair),0.7,1.99,18.0,2023,263
1.0,12:19,1.0,10.0,JAX 46,0.0,0.0,Tank Bigsby right tackle for 8 yards (tackle by Roger McCreary and Elijah Molden),1.99,2.53,18.0,2023,263
1.0,11:42,2.0,2.0,TEN 46,0.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 15 yards (tackle by Roger McCreary),2.53,3.51,18.0,2023,263
1.0,11:11,1.0,10.0,TEN 31,0.0,0.0,Trevor Lawrence pass incomplete short right,3.51,2.97,18.0,2023,263
1.0,11:06,2.0,10.0,TEN 31,0.0,0.0,Travis Etienne right tackle for 3 yards (tackle by Otis Reese),2.97,2.68,18.0,2023,263
1.0,10:28,3.0,7.0,TEN 28,0.0,0.0,Trevor Lawrence scrambles left end for 2 yards (tackle by Arden Key),2.68,1.79,18.0,2023,263
1.0,9:50,4.0,5.0,TEN 26,3.0,0.0,Brandon McManus 44 yard field goal good,1.79,3.0,18.0,2023,263
1.0,9:45,,,JAX 35,3.0,0.0,"Brandon McManus kicks off 64 yards,",0.0,0.61,18.0,2023,263
1.0,9:45,1.0,10.0,TEN 25,3.0,0.0,Derrick Henry left tackle for 12 yards (tackle by Foyesade Oluokun and Andre Cisco),0.61,1.4,18.0,2023,263
1.0,9:03,1.0,10.0,TEN 37,3.0,0.0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 6 yards,1.4,1.67,18.0,2023,263
1.0,8:26,2.0,4.0,TEN 43,3.0,0.0,Derrick Henry left end for 4 yards (tackle by Foyesade Oluokun and Roy Robertson-Harris),1.67,2.06,18.0,2023,263
1.0,7:46,1.0,10.0,TEN 47,3.0,0.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 21 yards (tackle by Devin Lloyd),2.06,3.45,18.0,2023,263
1.0,6:55,1.0,10.0,JAX 32,3.0,0.0,DeAndre Hopkins pass incomplete short left intended for Ryan Tannehill,3.45,2.9,18.0,2023,263
1.0,6:49,2.0,10.0,JAX 32,3.0,0.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 4 yards (tackle by Antonio Johnson),2.9,2.74,18.0,2023,263
1.0,6:05,3.0,6.0,JAX 28,3.0,6.0,"Ryan Tannehill pass complete short right to Tyjae Spears for 28 yards, touchdown",2.74,7.0,18.0,2023,263
1.0,5:57,,,JAX 15,3.0,7.0,Nick Folk kicks extra point good,0.0,0.0,18.0,2023,263
1.0,5:57,,,TEN 35,3.0,7.0,"Ty Zentner kicks off 68 yards, returned by Tank Bigsby for 31 yards (tackle by JoJo Domann)",0.0,0.81,18.0,2023,263
1.0,5:53,1.0,10.0,JAX 28,3.0,7.0,"Travis Etienne left end for no gain (tackle by K'Von Wallace). Penalty on Elijah Cooks: Offensive Holding, 10 yards (accepted) (no play)",0.81,-0.04,18.0,2023,263
1.0,5:24,1.0,20.0,JAX 18,3.0,7.0,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Arden Key),-0.04,-0.41,18.0,2023,263
1.0,4:45,2.0,15.0,JAX 23,3.0,7.0,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Roger McCreary),-0.41,-0.03,18.0,2023,263
1.0,4:09,3.0,7.0,JAX 31,3.0,7.0,"Trevor Lawrence pass complete to Zay Jones for no gain TEN challenged the pass completion ruling, and the original play was overturned. Trevor Lawrence pass incomplete deep left intended for Zay Jones (defended by Elijah Molden)",-0.03,-1.31,18.0,2023,263
1.0,4:02,4.0,7.0,JAX 31,3.0,7.0,"Logan Cooke punts 43 yards, fair catch by Mason Kinsey at TEN-26",-1.31,-0.67,18.0,2023,263
1.0,3:54,1.0,10.0,TEN 26,3.0,7.0,Ryan Tannehill pass incomplete short middle intended for Kevin Rader,0.67,0.13,18.0,2023,263
1.0,3:45,2.0,10.0,TEN 26,3.0,7.0,Derrick Henry up the middle for 16 yards (tackle by Foyesade Oluokun),0.13,1.73,18.0,2023,263
1.0,3:06,1.0,10.0,TEN 42,3.0,7.0,Ryan Tannehill pass incomplete short middle,1.73,1.19,18.0,2023,263
1.0,3:00,2.0,10.0,TEN 42,3.0,7.0,Derrick Henry right guard for 2 yards (tackle by Travon Walker and Jeremiah Ledbetter),1.19,0.76,18.0,2023,263
1.0,2:21,3.0,8.0,TEN 44,3.0,7.0,"Penalty on Andre Dillard: False Start, 5 yards (accepted) (no play)",0.76,0.1,18.0,2023,263
1.0,2:04,3.0,13.0,TEN 39,3.0,7.0,Ryan Tannehill pass incomplete short middle intended for Chigoziem Okonkwo,0.1,-0.78,18.0,2023,263
1.0,2:01,4.0,13.0,TEN 39,3.0,7.0,"Ty Zentner punts 49 yards, fair catch by Parker Washington at JAC-12",-0.78,0.35,18.0,2023,263
1.0,1:54,1.0,10.0,JAX 12,3.0,7.0,Trevor Lawrence pass complete short left to Tim Jones for 7 yards (tackle by Roger McCreary),-0.35,0.1,18.0,2023,263
1.0,1:27,2.0,3.0,JAX 19,3.0,7.0,Travis Etienne left guard for 1 yard (tackle by Jaleel Johnson),0.1,-0.48,18.0,2023,263
1.0,0:47,3.0,2.0,JAX 20,3.0,7.0,Trevor Lawrence pass complete short right to Calvin Ridley for 11 yards (tackle by Eric Garror),-0.48,1.0,18.0,2023,263
2.0,15:00,1.0,10.0,JAX 31,3.0,7.0,Travis Etienne up the middle for 5 yards (tackle by Azeez Al-Shaair),1.0,1.14,18.0,2023,263
2.0,14:20,2.0,5.0,JAX 36,3.0,7.0,Travis Etienne right end for -1 yards (tackle by Sean Murphy-Bunting),1.14,0.3,18.0,2023,263
2.0,13:39,3.0,6.0,JAX 35,3.0,7.0,Trevor Lawrence pass complete short middle to Zay Jones for 11 yards (tackle by Sean Murphy-Bunting),0.3,1.99,18.0,2023,263
2.0,12:52,1.0,10.0,JAX 46,3.0,7.0,"Penalty on JAX: Delay of Game, 5 yards (accepted) (no play)",1.99,1.66,18.0,2023,263
2.0,12:31,1.0,15.0,JAX 41,9.0,7.0,"Trevor Lawrence pass complete deep middle to Calvin Ridley for 59 yards, touchdown",1.66,7.0,18.0,2023,263
2.0,12:24,,,TEN 15,10.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2023,263
2.0,12:24,,,JAX 35,10.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,263
2.0,12:24,1.0,10.0,TEN 25,10.0,7.0,Ryan Tannehill pass complete short middle to DeAndre Hopkins for 16 yards (tackle by Tyson Campbell),0.61,1.66,18.0,2023,263
2.0,11:45,1.0,10.0,TEN 41,10.0,7.0,Derrick Henry left tackle for 8 yards (tackle by Rayshawn Jenkins and Josh Allen),1.66,2.2,18.0,2023,263
