Unnamed: 0,PHI,NYG,week,year,game_id
First Downs,19,22,18.0,2023,270
Rush-Yds-TDs,24-133-0,30-109-2,18.0,2023,270
Cmp-Att-Yd-TD-INT,20-36-203-1-2,25-34-311-1-1,18.0,2023,270
Sacked-Yards,5-37,2-5,18.0,2023,270
Net Pass Yards,166,306,18.0,2023,270
Total Yards,299,415,18.0,2023,270
Fumbles-Lost,2-2,1-0,18.0,2023,270
Turnovers,4,1,18.0,2023,270
Penalties-Yards,2-10,3-21,18.0,2023,270
Third Down Conv.,5-13,6-14,18.0,2023,270
Fourth Down Conv.,0-1,0-0,18.0,2023,270
Time of Possession,27:03,32:57,18.0,2023,270
