#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,JAX 25,11,5:15,49,Field Goal,0,Jaguars,18.0,2023,263
2,1,5:57,JAX 28,3,2:03,3,Punt,0,Jaguars,18.0,2023,263
3,1,1:54,JAX 12,7,4:30,88,Touchdown,0,Jaguars,18.0,2023,263
4,2,8:27,JAX 24,3,1:54,12,Interception,0,Jaguars,18.0,2023,263
5,2,3:03,JAX 20,5,1:57,33,Interception,0,Jaguars,18.0,2023,263
6,2,0:22,TEN 38,4,0:22,26,Field Goal,0,Jaguars,18.0,2023,263
7,3,12:45,JAX 29,12,5:36,42,Downs,0,Jaguars,18.0,2023,263
8,3,5:08,JAX 37,10,5:13,63,Touchdown,0,Jaguars,18.0,2023,263
9,4,12:09,TEN 28,9,4:56,27,Downs,0,Jaguars,18.0,2023,263
10,4,2:18,JAX 25,4,0:31,8,Downs,0,Jaguars,18.0,2023,263
