Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Desmond Ridder,ATL,0,0,0,0,0,18.0,2023,259
Logan Woodside,ATL,0,0,0,0,0,18.0,2023,259
Bijan Robinson,ATL,8,7,103,1,71,18.0,2023,259
Tyler Allgeier,ATL,3,3,10,0,6,18.0,2023,259
Cordarrelle Patterson,ATL,0,0,0,0,0,18.0,2023,259
Scott Miller,ATL,2,2,66,0,56,18.0,2023,259
Drake London,ATL,9,4,41,0,21,18.0,2023,259
Jonnu Smith,ATL,3,3,29,1,15,18.0,2023,259
Kyle Pitts,ATL,3,2,27,0,19,18.0,2023,259
MyCole Pruitt,ATL,1,1,17,0,17,18.0,2023,259
Van Jefferson,ATL,3,2,13,0,7,18.0,2023,259
John FitzPatrick,ATL,1,1,12,0,12,18.0,2023,259
KhaDarel Hodge,ATL,1,0,0,0,0,18.0,2023,259
Derek Carr,NOR,0,0,0,0,0,18.0,2023,259
Taysom Hill,NOR,4,4,28,0,11,18.0,2023,259
Kendre Miller,NOR,1,1,6,0,6,18.0,2023,259
Jamaal Williams,NOR,3,3,8,0,5,18.0,2023,259
Rashid Shaheed,NOR,4,3,65,1,39,18.0,2023,259
Chris Olave,NOR,3,3,56,1,26,18.0,2023,259
A.T. Perry,NOR,3,3,53,2,29,18.0,2023,259
Juwan Johnson,NOR,3,3,40,0,20,18.0,2023,259
Foster Moreau,NOR,1,1,3,0,3,18.0,2023,259
Jordan Mims,NOR,2,0,0,0,0,18.0,2023,259
Lynn Bowden Jr.,NOR,1,1,5,0,5,18.0,2023,259
