Quarter,Time,Tm,Detail,HOU,IND,week,year,game_id
1.0,9:15,Colts,Matt Gay 38 yard field goal,0,3,18.0,2023,258
,9:06,Texans,Nico Collins 75 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,3,18.0,2023,258
2.0,1:57,Texans,Andrew Beck 1 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,3,18.0,2023,258
,0:35,Colts,Matt Gay 52 yard field goal,14,6,18.0,2023,258
3.0,9:56,Colts,Jonathan Taylor 49 yard rush (Mo Alie-Cox pass from Gardner Minshew II),14,14,18.0,2023,258
,3:39,Texans,Ka'imi Fairbairn 51 yard field goal,17,14,18.0,2023,258
4.0,13:33,Colts,Matt Gay 35 yard field goal,17,17,18.0,2023,258
,6:20,Texans,Devin Singletary 3 yard rush (Ka'imi Fairbairn kick failed),23,17,18.0,2023,258
,0:01,Colts,Safety,23,19,18.0,2023,258
