Unnamed: 0,JAX,TEN,week,year,game_id
First Downs,20,19,18.0,2023,263
Rush-Yds-TDs,23-82-0,26-175-2,18.0,2023,263
Cmp-Att-Yd-TD-INT,29-43-280-2-2,17-27-168-2-1,18.0,2023,263
Sacked-Yards,0-0,2-16,18.0,2023,263
Net Pass Yards,280,152,18.0,2023,263
Total Yards,362,327,18.0,2023,263
Fumbles-Lost,0-0,1-0,18.0,2023,263
Turnovers,2,1,18.0,2023,263
Penalties-Yards,6-40,5-29,18.0,2023,263
Third Down Conv.,8-14,6-11,18.0,2023,263
Fourth Down Conv.,0-3,0-1,18.0,2023,263
Time of Possession,32:17,27:43,18.0,2023,263
