Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,18.0,2023,269
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,269
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,La'Mical Perine up the middle for 6 yards (tackle by Morgan Fox and Alohi Gilman),0.61,0.87,18.0,2023,269
1.0,14:22,2.0,4.0,KAN 31,0.0,0.0,Blaine Gabbert pass incomplete short right,0.87,0.17,18.0,2023,269
1.0,14:16,3.0,4.0,KAN 31,0.0,0.0,Blaine Gabbert pass incomplete short middle intended for Blake Bell (defended by Alohi Gilman),0.17,-1.31,18.0,2023,269
1.0,14:12,4.0,4.0,KAN 31,0.0,0.0,"Tommy Townsend punts 44 yards, fair catch by Derius Davis at LAC-25",-1.31,-0.61,18.0,2023,269
1.0,14:05,1.0,10.0,LAC 25,0.0,0.0,Easton Stick pass complete short right to Gerald Everett for 4 yards (tackle by Jaylen Watson),0.61,0.6,18.0,2023,269
1.0,13:33,2.0,6.0,LAC 29,0.0,0.0,Easton Stick pass complete short right to Austin Ekeler for 2 yards (tackle by Leo Chenal),0.6,0.17,18.0,2023,269
1.0,13:10,3.0,4.0,LAC 31,0.0,0.0,Easton Stick scrambles right end for 7 yards (tackle by Cam Jones),0.17,1.47,18.0,2023,269
1.0,12:32,1.0,10.0,LAC 38,0.0,0.0,Austin Ekeler left guard for 1 yard (tackle by Joshua Williams),1.47,1.06,18.0,2023,269
1.0,11:55,2.0,9.0,LAC 39,0.0,0.0,Easton Stick pass incomplete deep right intended for Josh Palmer,1.06,0.37,18.0,2023,269
1.0,11:47,3.0,9.0,LAC 39,0.0,0.0,Easton Stick pass complete short right to Keelan Doss for 8 yards (tackle by Jaylen Watson),0.37,-0.26,18.0,2023,269
1.0,11:10,4.0,1.0,LAC 47,0.0,0.0,Easton Stick up the middle for 2 yards (tackle by Charles Omenihu),-0.26,2.19,18.0,2023,269
1.0,10:34,1.0,10.0,LAC 49,0.0,0.0,Austin Ekeler left guard for 5 yards (tackle by Jack Cochrane and Tershawn Wharton),2.19,2.32,18.0,2023,269
1.0,9:50,2.0,5.0,KAN 46,0.0,0.0,Easton Stick scrambles right end for 7 yards (tackle by Jaylen Watson),2.32,2.98,18.0,2023,269
1.0,9:19,1.0,10.0,KAN 39,0.0,0.0,Easton Stick pass incomplete short right intended for Josh Palmer,2.98,2.44,18.0,2023,269
1.0,9:11,2.0,10.0,KAN 39,0.0,0.0,"Joshua Kelley left tackle for no gain (tackle by Jack Cochrane). Penalty on Josh Palmer: Illegal Shift, 5 yards (accepted) (no play)",2.44,1.77,18.0,2023,269
1.0,8:48,2.0,15.0,KAN 44,0.0,0.0,Easton Stick pass complete short left to Quentin Johnston for 13 yards (tackle by Malik Herring and Jack Cochrane),1.77,2.81,18.0,2023,269
1.0,8:15,3.0,2.0,KAN 31,0.0,0.0,Easton Stick pass complete short left to Josh Palmer for 7 yards (tackle by Joshua Williams),2.81,3.97,18.0,2023,269
1.0,7:37,1.0,10.0,KAN 24,0.0,0.0,Easton Stick right end for 7 yards (tackle by Chamarri Conner),3.97,4.46,18.0,2023,269
1.0,6:59,2.0,3.0,KAN 17,0.0,0.0,Easton Stick pass incomplete deep right intended for Josh Palmer (defended by Jaylen Watson),4.46,3.75,18.0,2023,269
