Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Patriots to receive the opening kickoff.",,,18.0,2023,264
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,264
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Ezekiel Elliott up the middle for 2 yards (tackle by Jamien Sherwood),0.61,0.33,18.0,2023,264
1.0,14:27,2.0,8.0,NWE 27,0.0,0.0,Bailey Zappe pass incomplete short left intended for Ezekiel Elliott (defended by Solomon Thomas),0.33,-0.36,18.0,2023,264
1.0,14:22,3.0,8.0,NWE 27,0.0,0.0,Bailey Zappe pass incomplete short right intended for Ezekiel Elliott,-0.36,-1.57,18.0,2023,264
1.0,14:18,4.0,8.0,NWE 27,0.0,0.0,"Bryce Baringer punts 63 yards, returned by Xavier Gipson for 13 yards (tackle by Cody Davis)",-1.57,-0.48,18.0,2023,264
1.0,14:04,1.0,10.0,NYJ 23,0.0,0.0,Trevor Siemian pass incomplete deep left intended for Garrett Wilson,0.48,-0.07,18.0,2023,264
1.0,13:59,2.0,10.0,NYJ 23,0.0,0.0,Breece Hall right tackle for 5 yards (tackle by Deatrich Wise),-0.07,-0.1,18.0,2023,264
1.0,13:24,3.0,5.0,NYJ 28,0.0,0.0,Trevor Siemian sacked by and Mack Wilson for -1 yards and Ja'Whaun Bentley for -1 yards,-0.1,-1.57,18.0,2023,264
1.0,12:39,4.0,6.0,NYJ 27,0.0,0.0,"Thomas Morstead punts 49 yards, returned by Myles Bryant for 15 yards (tackle by Jamien Sherwood and Quinnen Williams)",-1.57,-1.53,18.0,2023,264
1.0,12:27,1.0,10.0,NWE 39,0.0,0.0,Bailey Zappe pass complete short right to Ezekiel Elliott for 2 yards (tackle by C.J. Mosley),1.53,1.26,18.0,2023,264
1.0,11:52,2.0,8.0,NWE 41,0.0,0.0,Bailey Zappe pass complete short left to Demario Douglas for -2 yards (tackle by Jamien Sherwood),1.26,0.3,18.0,2023,264
