Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Saints to receive the opening kickoff.",,,18.0,2023,259
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,259
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Derek Carr pass complete short left to Taysom Hill for 11 yards (tackle by Calais Campbell),0.61,1.33,18.0,2023,259
1.0,14:26,1.0,10.0,NOR 36,0.0,0.0,Derek Carr pass complete short left to Jamaal Williams for 5 yards (tackle by AJ Terrell and Arnold Ebiketie),1.33,1.47,18.0,2023,259
1.0,13:53,2.0,5.0,NOR 41,0.0,0.0,Jamaal Williams right guard for -1 yards (tackle by David Onyemata),1.47,0.63,18.0,2023,259
1.0,13:15,3.0,6.0,NOR 40,0.0,0.0,"Derek Carr sacked by Bud Dupree for -5 yards. Derek Carr fumbles (forced by Bud Dupree), recovered by James Hurst at NO-35",0.63,-1.04,18.0,2023,259
1.0,12:28,4.0,11.0,NOR 35,0.0,0.0,Lou Hedley punts 44 yards out of bounds,-1.04,-0.34,18.0,2023,259
1.0,12:21,1.0,10.0,ATL 21,0.0,0.0,Bijan Robinson right tackle for -1 yards (tackle by Demario Davis),0.34,-0.34,18.0,2023,259
1.0,11:42,2.0,11.0,ATL 20,0.0,0.0,Desmond Ridder pass complete short left to Bijan Robinson for 6 yards (tackle by Demario Davis),-0.34,-0.23,18.0,2023,259
1.0,11:02,3.0,5.0,ATL 26,0.0,0.0,Desmond Ridder pass complete deep right to Scott Miller for 56 yards (tackle by Jordan Howden),-0.23,4.37,18.0,2023,259
1.0,10:21,1.0,10.0,NOR 18,0.0,0.0,Desmond Ridder pass complete short right to Drake London for 9 yards (tackle by Johnathan Abram),4.37,5.42,18.0,2023,259
1.0,9:31,2.0,1.0,NOR 9,0.0,0.0,Bijan Robinson right guard for 7 yards (tackle by Johnathan Abram and Demario Davis),5.42,0.0,18.0,2023,259
