Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Marcus Mariota,PHI,0,0,0,0,0,18.0,2023,270
Jalen Hurts,PHI,0,0,0,0,0,18.0,2023,270
Kenneth Gainwell,PHI,1,0,0,0,0,18.0,2023,270
Rashaad Penny,PHI,0,0,0,0,0,18.0,2023,270
Boston Scott,PHI,1,0,0,0,0,18.0,2023,270
Quez Watkins,PHI,11,8,93,1,19,18.0,2023,270
Britain Covey,PHI,5,3,35,0,22,18.0,2023,270
Olamide Zaccheaus,PHI,4,2,20,0,11,18.0,2023,270
Grant Calcaterra,PHI,2,2,18,0,11,18.0,2023,270
Julio Jones,PHI,4,2,13,0,8,18.0,2023,270
Jack Stoll,PHI,1,1,11,0,11,18.0,2023,270
A.J. Brown,PHI,1,1,9,0,9,18.0,2023,270
Dallas Goedert,PHI,3,1,4,0,4,18.0,2023,270
Tyrod Taylor,NYG,0,0,0,0,0,18.0,2023,270
Tommy DeVito,NYG,0,0,0,0,0,18.0,2023,270
Saquon Barkley,NYG,2,2,51,0,46,18.0,2023,270
Eric Gray,NYG,1,1,9,0,9,18.0,2023,270
Sterling Shepard,NYG,5,3,18,0,10,18.0,2023,270
Wan'Dale Robinson,NYG,6,5,85,0,33,18.0,2023,270
Darius Slayton,NYG,7,5,62,1,19,18.0,2023,270
Darren Waller,NYG,6,5,45,0,23,18.0,2023,270
Isaiah Hodgins,NYG,3,3,36,0,15,18.0,2023,270
Jalin Hyatt,NYG,2,1,5,0,5,18.0,2023,270
