Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,18.0,2023,272
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,272
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,"Tua Tagovailoa pass incomplete deep left intended for Cedrick Wilson. Penalty on Robert Hunt: Ineligible Downfield Pass, 5 yards (declined)",0.61,0.06,18.0,2023,272
1.0,14:57,2.0,10.0,MIA 25,0.0,0.0,De'Von Achane right end for 16 yards (tackle by Terrel Bernard and Christian Benford),0.06,1.66,18.0,2023,272
1.0,14:27,1.0,10.0,MIA 41,0.0,0.0,De'Von Achane left tackle for -4 yards (tackle by DaQuan Jones),1.66,0.58,18.0,2023,272
1.0,13:34,2.0,14.0,MIA 37,0.0,0.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 7 yards (tackle by Taron Johnson),0.58,0.83,18.0,2023,272
1.0,12:52,3.0,7.0,MIA 44,0.0,0.0,Tua Tagovailoa pass deep left intended for Tyreek Hill is intercepted by Christian Benford at BUF-16 and returned for no gain (tackle by Tyreek Hill),0.83,0.14,18.0,2023,272
1.0,12:43,1.0,10.0,BUF 16,0.0,0.0,Josh Allen pass complete short middle to Stefon Diggs for 5 yards (tackle by Duke Riley),-0.14,0.15,18.0,2023,272
1.0,12:11,2.0,5.0,BUF 21,0.0,0.0,James Cook left end for 4 yards (tackle by David Long),0.15,-0.2,18.0,2023,272
1.0,11:29,3.0,1.0,BUF 25,0.0,0.0,Leonard Fournette up the middle for 5 yards (tackle by DeShon Elliott),-0.2,0.94,18.0,2023,272
1.0,10:44,1.0,10.0,BUF 30,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Duke Riley),0.94,1.2,18.0,2023,272
1.0,10:08,2.0,4.0,BUF 36,0.0,0.0,Josh Allen pass complete deep left to Dalton Kincaid for 29 yards (tackle by DeShon Elliott),1.2,3.25,18.0,2023,272
1.0,9:26,1.0,10.0,MIA 35,0.0,0.0,James Cook left guard for 14 yards (tackle by Jevon Holland and DeShon Elliott),3.25,4.17,18.0,2023,272
1.0,8:48,1.0,10.0,MIA 21,0.0,0.0,Josh Allen pass complete short left to James Cook for 6 yards (tackle by David Long),4.17,4.55,18.0,2023,272
1.0,8:11,2.0,4.0,MIA 15,0.0,0.0,James Cook up the middle for 3 yards (tackle by Da'Shawn Hand and DeShon Elliott),4.55,4.49,18.0,2023,272
1.0,7:37,3.0,1.0,MIA 12,0.0,0.0,Josh Allen left guard for 4 yards (tackle by Duke Riley and Jalen Ramsey),4.49,5.37,18.0,2023,272
1.0,6:55,1.0,8.0,MIA 8,0.0,0.0,Leonard Fournette up the middle for 3 yards (tackle by Eli Apple and Da'Shawn Hand),5.37,5.15,18.0,2023,272
1.0,6:17,2.0,5.0,MIA 5,0.0,0.0,Josh Allen pass incomplete short left intended for Dawson Knox (defended by Kader Kohou),5.15,4.26,18.0,2023,272
1.0,6:08,3.0,5.0,MIA 5,0.0,0.0,Josh Allen pass short left intended for Gabriel Davis is intercepted by Eli Apple in end zone and returned for 8 yards (tackle by Gabriel Davis),4.26,0.38,18.0,2023,272
1.0,5:58,1.0,10.0,MIA 3,0.0,0.0,"De'Von Achane left guard for no gain (tackle by Ed Oliver). Penalty on Shaq Lawson: Defensive Offside, 5 yards (accepted) (no play)",-0.38,-0.19,18.0,2023,272
1.0,5:32,1.0,5.0,MIA 8,0.0,0.0,"De'Von Achane left end for no gain (tackle by Taron Johnson). Penalty on Terron Armstead: Offensive Holding, 4 yards (accepted) (no play)",-0.19,-0.34,18.0,2023,272
1.0,5:26,1.0,9.0,MIA 4,0.0,0.0,Tua Tagovailoa pass complete short right to River Cracraft for 18 yards (tackle by Jordan Poyer),-0.34,0.41,18.0,2023,272
1.0,4:40,1.0,10.0,MIA 22,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 19 yards (tackle by Christian Benford),0.41,1.66,18.0,2023,272
1.0,4:00,1.0,10.0,MIA 41,0.0,0.0,De'Von Achane right end for 11 yards (tackle by Tyrel Dodson),1.66,2.39,18.0,2023,272
1.0,3:25,1.0,10.0,BUF 48,0.0,0.0,De'Von Achane right tackle for 2 yards (tackle by Tyrel Dodson and Leonard Floyd),2.39,2.12,18.0,2023,272
1.0,2:49,2.0,8.0,BUF 46,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Julian Hill,2.12,1.42,18.0,2023,272
1.0,2:40,3.0,8.0,BUF 46,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,1.42,0.2,18.0,2023,272
1.0,2:35,4.0,8.0,BUF 46,0.0,0.0,"Jake Bailey punts 35 yards, fair catch by Deonte Harty at BUF-11",0.2,0.37,18.0,2023,272
1.0,2:29,1.0,10.0,BUF 11,0.0,0.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,-0.37,-0.78,18.0,2023,272
1.0,2:23,2.0,10.0,BUF 11,0.0,0.0,Josh Allen pass complete short left to Khalil Shakir for 46 yards (tackle by DeShon Elliott),-0.78,2.72,18.0,2023,272
1.0,1:43,1.0,10.0,MIA 43,0.0,0.0,Ty Johnson right end for 5 yards (tackle by David Long and DeShon Elliott),2.72,2.85,18.0,2023,272
1.0,1:03,2.0,5.0,MIA 38,0.0,0.0,Josh Allen pass incomplete short middle intended for Dalton Kincaid,2.85,2.15,18.0,2023,272
1.0,1:00,3.0,5.0,MIA 38,0.0,0.0,Josh Allen up the middle for 3 yards (tackle by Christian Wilkins),2.15,0.99,18.0,2023,272
1.0,0:22,4.0,2.0,MIA 35,0.0,0.0,Josh Allen pass deep middle intended for Gabriel Davis is intercepted by DeShon Elliott in end zone and returned for no gain,0.99,-0.28,18.0,2023,272
1.0,0:10,1.0,10.0,MIA 20,0.0,0.0,De'Von Achane sacked by Tyrel Dodson for -6 yards,0.28,-1.18,18.0,2023,272
2.0,15:00,2.0,16.0,MIA 14,0.0,0.0,Jeff Wilson left guard for 10 yards (tackle by Jordan Poyer),-1.18,-0.43,18.0,2023,272
2.0,14:23,3.0,6.0,MIA 24,0.0,0.0,Tua Tagovailoa pass complete short middle to Braxton Berrios for 7 yards (tackle by Terrel Bernard),-0.43,1.0,18.0,2023,272
2.0,13:41,1.0,10.0,MIA 31,0.0,0.0,De'Von Achane left end for -4 yards (tackle by Gregory Rousseau),1.0,-0.08,18.0,2023,272
2.0,13:01,2.0,14.0,MIA 27,0.0,0.0,De'Von Achane right guard for no gain (tackle by Taron Johnson and Terrel Bernard),-0.08,-0.76,18.0,2023,272
2.0,12:23,3.0,14.0,MIA 27,0.0,0.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 23 yards (tackle by Taylor Rapp and Terrel Bernard),-0.76,2.26,18.0,2023,272
2.0,11:46,1.0,10.0,BUF 50,0.0,0.0,Jeff Wilson left end for 13 yards (tackle by Jordan Poyer and Terrel Bernard),2.26,3.12,18.0,2023,272
2.0,11:08,1.0,10.0,BUF 37,0.0,0.0,Jeff Wilson right end for 4 yards (tackle by Jordan Poyer),3.12,3.11,18.0,2023,272
