Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Colts to receive the opening kickoff.",,,18.0,2023,258
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,258
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor left tackle for 4 yards (tackle by Maliek Collins and Jalen Pitre),0.61,0.6,18.0,2023,258
1.0,14:24,2.0,6.0,IND 29,0.0,0.0,"Jonathan Taylor right end for no gain (tackle by Christian Harris). Penalty on Desmond King: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.6,1.2,18.0,2023,258
1.0,14:05,1.0,10.0,IND 34,0.0,0.0,Gardner Minshew pass complete short right to Michael Pittman for 5 yards,1.2,1.33,18.0,2023,258
1.0,13:38,2.0,5.0,IND 39,0.0,0.0,Gardner Minshew pass complete short right to Michael Pittman for 7 yards (tackle by DeAndre Houston-Carson),1.33,1.99,18.0,2023,258
1.0,13:02,1.0,10.0,IND 46,0.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 9 yards (tackle by Khalil Davis),1.99,2.67,18.0,2023,258
1.0,12:30,2.0,1.0,HOU 45,0.0,0.0,Jonathan Taylor right guard for 3 yards (tackle by Kurt Hinish),2.67,2.79,18.0,2023,258
1.0,11:51,1.0,10.0,HOU 42,0.0,0.0,Gardner Minshew scrambles left end for 9 yards (tackle by Blake Cashman),2.79,3.46,18.0,2023,258
1.0,11:17,2.0,1.0,HOU 33,0.0,0.0,Jonathan Taylor up the middle for 13 yards (tackle by Blake Cashman and Steven Nelson),3.46,4.24,18.0,2023,258
1.0,10:44,1.0,10.0,HOU 20,0.0,0.0,Jonathan Taylor left end for 4 yards (tackle by Teair Tart),4.24,4.28,18.0,2023,258
1.0,10:07,2.0,6.0,HOU 16,0.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Christian Harris),4.28,3.89,18.0,2023,258
1.0,9:24,3.0,4.0,HOU 14,0.0,0.0,Gardner Minshew pass incomplete short right intended for Tyler Goodson,3.89,2.58,18.0,2023,258
1.0,9:19,4.0,4.0,HOU 14,0.0,0.0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",2.58,2.18,18.0,2023,258
1.0,9:19,4.0,9.0,HOU 19,0.0,3.0,Matt Gay 38 yard field goal good,2.18,3.0,18.0,2023,258
1.0,9:15,,,IND 35,0.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,258
1.0,9:15,1.0,10.0,HOU 25,6.0,3.0,"C.J. Stroud pass complete deep middle to Nico Collins for 75 yards, touchdown",0.61,7.0,18.0,2023,258
1.0,9:06,,,IND 15,7.0,3.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,18.0,2023,258
1.0,9:06,,,HOU 35,7.0,3.0,"Ka'imi Fairbairn kicks off 59 yards, returned by Josh Downs for 17 yards (tackle by Dare Ogunbowale)",0.0,0.48,18.0,2023,258
1.0,9:02,1.0,10.0,IND 23,7.0,3.0,Gardner Minshew pass incomplete short left intended for Alec Pierce (defended by Steven Nelson),0.48,-0.07,18.0,2023,258
1.0,8:58,2.0,10.0,IND 23,7.0,3.0,Gardner Minshew sacked by Christian Harris for -8 yards,-0.07,-2.15,18.0,2023,258
1.0,8:19,3.0,18.0,IND 15,7.0,3.0,Jonathan Taylor up the middle for 10 yards (tackle by Blake Cashman and Jerry Hughes),-2.15,-1.7,18.0,2023,258
1.0,7:30,4.0,8.0,IND 25,7.0,3.0,"Rigoberto Sanchez punts 51 yards, fair catch by Desmond King at HOU-24",-1.7,-0.54,18.0,2023,258
1.0,7:23,1.0,10.0,HOU 24,7.0,3.0,Devin Singletary up the middle for 5 yards (tackle by DeForest Buckner and E.J. Speed),0.54,0.67,18.0,2023,258
