Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,,18.0,2023,271
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,271
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Sam Darnold pass complete short right to Deebo Samuel for 6 yards (tackle by Ahkello Witherspoon),0.61,0.87,18.0,2023,271
1.0,14:29,2.0,4.0,SFO 31,0.0,0.0,Sam Darnold pass complete short left to Charlie Woerner for 20 yards (tackle by Ahkello Witherspoon),0.87,2.32,18.0,2023,271
1.0,13:44,1.0,10.0,LAR 49,0.0,0.0,Elijah Mitchell right tackle for 4 yards (tackle by Quentin Lake and Bobby Brown),2.32,2.32,18.0,2023,271
1.0,13:03,2.0,6.0,LAR 45,0.0,0.0,Elijah Mitchell left tackle for 2 yards (tackle by Troy Reeder and Michael Hoecht),2.32,1.88,18.0,2023,271
1.0,12:20,3.0,4.0,LAR 43,0.0,0.0,Sam Darnold pass complete short left to Brandon Aiyuk for 5 yards (tackle by Ahkello Witherspoon),1.88,3.05,18.0,2023,271
1.0,11:38,1.0,10.0,LAR 38,0.0,0.0,Elijah Mitchell left guard for 5 yards (tackle by Earnest Brown),3.05,3.18,18.0,2023,271
1.0,11:02,2.0,5.0,LAR 33,0.0,0.0,Sam Darnold pass complete short middle to Elijah Mitchell for 7 yards (tackle by Troy Reeder),3.18,3.84,18.0,2023,271
1.0,10:19,1.0,10.0,LAR 26,0.0,0.0,Deebo Samuel left tackle for 11 yards (tackle by Jordan Fuller),3.84,4.58,18.0,2023,271
1.0,9:34,1.0,10.0,LAR 15,0.0,0.0,Sam Darnold pass complete short right to Brandon Aiyuk for 11 yards (tackle by Cobie Durant),4.58,6.28,18.0,2023,271
1.0,8:54,1.0,4.0,LAR 4,0.0,0.0,Elijah Mitchell up the middle for no gain (tackle by Jonah Williams and Bobby Brown),6.28,5.34,18.0,2023,271
1.0,8:13,2.0,4.0,LAR 4,0.0,0.0,Elijah Mitchell left guard for 3 yards (tackle by Larrell Murchison),5.34,5.17,18.0,2023,271
1.0,7:31,3.0,1.0,LAR 1,0.0,6.0,"Elijah Mitchell right guard for 1 yard, touchdown",5.17,7.0,18.0,2023,271
1.0,7:27,,,LAR 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,18.0,2023,271
1.0,7:27,,,SFO 35,0.0,7.0,"Jake Moody kicks off 62 yards,",0.0,0.61,18.0,2023,271
1.0,7:27,1.0,10.0,LAR 25,0.0,7.0,Ronnie Rivers up the middle for 5 yards (tackle by Charvarius Ward and Oren Burks),0.61,0.74,18.0,2023,271
1.0,6:59,2.0,5.0,LAR 30,0.0,7.0,Carson Wentz pass complete short right to Davis Allen for 9 yards (tackle by Charvarius Ward),0.74,1.53,18.0,2023,271
1.0,6:26,1.0,10.0,LAR 39,0.0,7.0,Carson Wentz pass complete short middle to Puka Nacua for 9 yards (tackle by Charvarius Ward),1.53,2.2,18.0,2023,271
1.0,5:59,2.0,1.0,LAR 48,0.0,7.0,Ronnie Rivers up the middle for 10 yards (tackle by Deommodore Lenoir and Tayler Hawkins),2.2,2.79,18.0,2023,271
1.0,5:32,1.0,10.0,SFO 42,0.0,7.0,Carson Wentz scrambles up the middle for 2 yards (tackle by Javon Kinlaw),2.79,2.51,18.0,2023,271
1.0,4:48,2.0,8.0,SFO 40,0.0,7.0,Ronnie Rivers up the middle for 5 yards (tackle by Isaiah Oliver),2.51,2.48,18.0,2023,271
1.0,4:07,3.0,3.0,SFO 35,0.0,7.0,Ronnie Rivers right guard for 1 yard (tackle by Nick Bosa and Oren Burks),2.48,1.1,18.0,2023,271
1.0,3:27,4.0,2.0,SFO 34,0.0,7.0,Carson Wentz pass complete short right to Davis Allen for 10 yards (tackle by Logan Ryan),1.1,3.97,18.0,2023,271
1.0,2:48,1.0,10.0,SFO 24,0.0,7.0,Carson Wentz pass incomplete short right intended for Puka Nacua,3.97,3.43,18.0,2023,271
1.0,2:41,2.0,10.0,SFO 24,0.0,7.0,Carson Wentz right guard for 5 yards (tackle by Charvarius Ward),3.43,3.41,18.0,2023,271
1.0,1:59,3.0,5.0,SFO 19,6.0,7.0,"Carson Wentz pass complete deep right to Puka Nacua for 19 yards, touchdown. Penalty on Charvarius Ward: Defensive Pass Interference, 15 yards (declined)",3.41,7.0,18.0,2023,271
1.0,1:53,,,SFO 15,7.0,7.0,Brett Maher kicks extra point good,0.0,0.0,18.0,2023,271
1.0,1:53,,,LAR 35,7.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,271
1.0,1:53,1.0,10.0,SFO 25,7.0,7.0,"Sam Darnold pass complete to Deebo Samuel for no gain. Penalty on Deebo Samuel: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,18.0,2023,271
1.0,1:23,1.0,20.0,SFO 15,7.0,7.0,Sam Darnold pass complete short left to Deebo Samuel for 15 yards (tackle by Keir Thomas and Ahkello Witherspoon),-0.41,0.74,18.0,2023,271
1.0,0:38,2.0,5.0,SFO 30,7.0,7.0,Jordan Mason right guard for 6 yards (tackle by Troy Reeder and Keir Thomas),0.74,1.33,18.0,2023,271
2.0,15:00,1.0,10.0,SFO 36,7.0,7.0,Sam Darnold pass incomplete deep right intended for Brandon Aiyuk,1.33,0.79,18.0,2023,271
2.0,14:56,2.0,10.0,SFO 36,7.0,7.0,Jordan Mason left tackle for 16 yards (tackle by Russ Yeast),0.79,2.39,18.0,2023,271
2.0,14:10,1.0,10.0,LAR 48,7.0,7.0,Sam Darnold pass incomplete short right intended for Ronnie Bell,2.39,1.85,18.0,2023,271
2.0,14:04,2.0,10.0,LAR 48,7.0,7.0,Sam Darnold up the middle for 9 yards (tackle by Nick Hampton),1.85,2.34,18.0,2023,271
2.0,13:26,3.0,1.0,LAR 39,7.0,7.0,Sam Darnold up the middle for 2 yards (tackle by Jonah Williams),2.34,3.12,18.0,2023,271
2.0,12:48,1.0,10.0,LAR 37,7.0,7.0,Sam Darnold pass complete short left to Brandon Aiyuk for 9 yards (tackle by John Johnson),3.12,3.79,18.0,2023,271
2.0,12:07,2.0,1.0,LAR 28,7.0,7.0,"Sam Darnold aborted snap, recovered by Sam Darnold at LA-29 and returned for -1 yards",3.79,2.94,18.0,2023,271
2.0,11:29,3.0,2.0,LAR 29,7.0,7.0,Sam Darnold up the middle for 1 yard (tackle by Jonah Williams and Troy Reeder),2.94,1.72,18.0,2023,271
2.0,10:43,4.0,1.0,LAR 28,7.0,7.0,Jordan Mason left tackle for 3 yards (tackle by Ahkello Witherspoon and John Johnson),1.72,3.91,18.0,2023,271
2.0,9:59,1.0,10.0,LAR 25,7.0,7.0,Elijah Mitchell left tackle for 14 yards (tackle by Russ Yeast),3.91,4.84,18.0,2023,271
2.0,9:10,1.0,10.0,LAR 11,7.0,7.0,Elijah Mitchell right tackle for 7 yards (tackle by Cobie Durant and Russ Yeast),4.84,5.6,18.0,2023,271
2.0,8:31,2.0,2.0,LAR 4,7.0,7.0,Elijah Mitchell right guard for -1 yards (tackle by Bobby Brown and Troy Reeder),5.6,4.44,18.0,2023,271
2.0,7:48,3.0,4.0,LAR 5,7.0,7.0,"Sam Darnold pass incomplete. Penalty on Quentin Lake: Defensive Holding, 3 yards (accepted) (no play)",4.44,6.74,18.0,2023,271
2.0,7:41,1.0,2.0,LAR 2,7.0,7.0,Elijah Mitchell left guard for 1 yard (tackle by Bobby Brown),6.74,5.91,18.0,2023,271
