Quarter,Time,Tm,Detail,JAX,TEN,week,year,game_id
1.0,9:45,Jaguars,Brandon McManus 44 yard field goal,3,0,18.0,2023,263
,5:57,Titans,Tyjae Spears 28 yard pass from Ryan Tannehill (Nick Folk kick),3,7,18.0,2023,263
2.0,12:24,Jaguars,Calvin Ridley 59 yard pass from Trevor Lawrence (Brandon McManus kick),10,7,18.0,2023,263
,8:27,Titans,Derrick Henry 18 yard rush (Nick Folk kick),10,14,18.0,2023,263
,3:03,Titans,Tyjae Spears 3 yard rush (Nick Folk kick),10,21,18.0,2023,263
,0:00,Jaguars,Brandon McManus 30 yard field goal,13,21,18.0,2023,263
3.0,12:45,Titans,DeAndre Hopkins 6 yard pass from Ryan Tannehill (Nick Folk kick),13,28,18.0,2023,263
4.0,14:55,Jaguars,Evan Engram 14 yard pass from Trevor Lawrence (Brandon McManus kick),20,28,18.0,2023,263
