Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,18.0,2023,270
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,270
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Tyrod Taylor pass complete short middle to Darius Slayton for 18 yards (tackle by Kevin Byard),0.61,1.8,18.0,2023,270
1.0,14:25,1.0,10.0,NYG 43,0.0,0.0,Saquon Barkley up the middle for 2 yards (tackle by Jordan Davis and Milton Williams),1.8,1.52,18.0,2023,270
1.0,13:56,2.0,8.0,NYG 45,0.0,0.0,Saquon Barkley up the middle for -5 yards (tackle by Haason Reddick),1.52,0.17,18.0,2023,270
1.0,13:22,3.0,13.0,NYG 40,0.0,0.0,Tyrod Taylor pass incomplete deep right intended for Jalin Hyatt,0.17,-0.72,18.0,2023,270
1.0,13:15,4.0,13.0,NYG 40,0.0,0.0,"Jamie Gillan punts 43 yards, fair catch by Britain Covey at PHI-17",-0.72,0.06,18.0,2023,270
1.0,13:08,1.0,10.0,PHI 17,0.0,0.0,Jalen Hurts pass complete short left to Quez Watkins for 8 yards (tackle by Nick McCloud),-0.06,0.62,18.0,2023,270
1.0,12:35,2.0,2.0,PHI 25,0.0,0.0,Kenneth Gainwell up the middle for 3 yards (tackle by Micah McFadden),0.62,0.81,18.0,2023,270
1.0,12:00,1.0,10.0,PHI 28,0.0,0.0,Kenneth Gainwell left end for 2 yards (tackle by Dane Belton),0.81,0.53,18.0,2023,270
1.0,11:26,2.0,8.0,PHI 30,0.0,0.0,Jalen Hurts pass incomplete deep left,0.53,-0.16,18.0,2023,270
1.0,11:18,3.0,8.0,PHI 30,0.0,0.0,Jalen Hurts pass incomplete deep right intended for Dallas Goedert,-0.16,-1.37,18.0,2023,270
1.0,11:11,4.0,8.0,PHI 30,0.0,0.0,"Braden Mann punts 54 yards, returned by Gunner Olszewski for 11 yards (tackle by Patrick Johnson and Rick Lovato)",-1.37,-0.74,18.0,2023,270
