Quarter,Time,Tm,Detail,TAM,CAR,week,year,game_id
2.0,4:13,Buccaneers,Chase McLaughlin 36 yard field goal,3,0,18.0,2023,260
,0:00,Buccaneers,Chase McLaughlin 57 yard field goal,6,0,18.0,2023,260
4.0,10:18,Buccaneers,Chase McLaughlin 39 yard field goal,9,0,18.0,2023,260
