Unnamed: 0,ATL,NOR,week,year,game_id
First Downs,14,27,18.0,2023,259
Rush-Yds-TDs,25-78-0,35-154-2,18.0,2023,259
Cmp-Att-Yd-TD-INT,25-34-318-2-2,22-28-264-4-0,18.0,2023,259
Sacked-Yards,1-7,3-18,18.0,2023,259
Net Pass Yards,311,246,18.0,2023,259
Total Yards,389,400,18.0,2023,259
Fumbles-Lost,1-1,2-0,18.0,2023,259
Turnovers,3,0,18.0,2023,259
Penalties-Yards,8-75,3-15,18.0,2023,259
Third Down Conv.,4-11,3-10,18.0,2023,259
Fourth Down Conv.,0-1,1-1,18.0,2023,259
Time of Possession,26:10,33:50,18.0,2023,259
