Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Commanders to receive the opening kickoff.",,,18.0,2023,267
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,267
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Curtis Samuel left end for 15 yards (tackle by Dorance Armstrong),0.61,1.6,18.0,2023,267
1.0,14:20,1.0,10.0,WAS 40,0.0,0.0,Brian Robinson up the middle for no gain (tackle by Micah Parsons),1.6,1.05,18.0,2023,267
1.0,13:40,2.0,10.0,WAS 40,0.0,0.0,Brian Robinson left guard for 9 yards (tackle by DeMarcus Lawrence),1.05,1.55,18.0,2023,267
1.0,13:00,3.0,1.0,WAS 49,0.0,0.0,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Stephon Gilmore),1.55,-0.13,18.0,2023,267
1.0,12:53,4.0,1.0,WAS 49,0.0,0.0,Sam Howell pass complete short right to Brian Robinson for 11 yards (tackle by Stephon Gilmore),-0.13,2.92,18.0,2023,267
1.0,12:18,1.0,10.0,DAL 40,0.0,0.0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Stephon Gilmore),2.92,3.05,18.0,2023,267
1.0,11:47,2.0,5.0,DAL 35,0.0,0.0,Sam Howell pass complete short right to Antonio Gibson for 3 yards (tackle by Stephon Gilmore),3.05,2.74,18.0,2023,267
1.0,11:04,3.0,2.0,DAL 32,0.0,0.0,Brian Robinson right end for 1 yard (tackle by Markquese Bell and Micah Parsons),2.74,1.41,18.0,2023,267
1.0,10:21,4.0,1.0,DAL 31,0.0,0.0,Sam Howell pass complete short left to Brian Robinson for -2 yards (tackle by Jayron Kearse and Donovan Wilson),1.41,-1.14,18.0,2023,267
1.0,10:13,1.0,10.0,DAL 33,0.0,0.0,Dak Prescott pass complete short left to Brandin Cooks for 15 yards (tackle by Emmanuel Forbes),1.14,2.13,18.0,2023,267
1.0,9:44,1.0,10.0,DAL 48,0.0,0.0,Tony Pollard left tackle for 6 yards (tackle by David Mayo),2.13,2.39,18.0,2023,267
1.0,9:14,2.0,4.0,WAS 46,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 15 yards (tackle by Terrell Burgess),2.39,3.51,18.0,2023,267
1.0,8:42,1.0,10.0,WAS 31,0.0,0.0,Dak Prescott pass complete short middle to CeeDee Lamb for 9 yards (tackle by Benjamin St-Juste),3.51,4.18,18.0,2023,267
1.0,8:12,2.0,1.0,WAS 22,0.0,0.0,Tony Pollard right tackle for 4 yards (tackle by Terrell Burgess),4.18,4.37,18.0,2023,267
1.0,7:35,1.0,10.0,WAS 18,0.0,0.0,Brandin Cooks left end for 3 yards (tackle by Emmanuel Forbes and Khaleke Hudson),4.37,4.25,18.0,2023,267
1.0,7:01,2.0,7.0,WAS 15,0.0,0.0,Dak Prescott pass complete short left to Tony Pollard for 12 yards (tackle by Khaleke Hudson),4.25,6.51,18.0,2023,267
1.0,6:30,1.0,3.0,WAS 3,6.0,0.0,"Dak Prescott pass complete short middle to Jalen Tolbert for 3 yards, touchdown",6.51,7.0,18.0,2023,267
1.0,6:26,,,WAS 15,7.0,0.0,Brandon Aubrey kicks extra point good,0.0,0.0,18.0,2023,267
1.0,6:26,,,DAL 35,7.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,267
1.0,6:26,1.0,10.0,WAS 25,7.0,0.0,"Brian Robinson right guard for 5 yards. Brian Robinson fumbles (forced by Jourdan Lewis), recovered by Jourdan Lewis at WAS-31 (tackle by Jourdan Lewis)",0.61,-3.51,18.0,2023,267
1.0,6:19,1.0,10.0,WAS 31,7.0,0.0,KaVontae Turpin left end for 5 yards (tackle by Sean Chandler),3.51,3.64,18.0,2023,267
1.0,5:48,2.0,5.0,WAS 26,7.0,0.0,Tony Pollard left end for 3 yards (tackle by Abdullah Anderson),3.64,3.34,18.0,2023,267
1.0,5:18,3.0,2.0,WAS 23,7.0,0.0,Dak Prescott pass incomplete deep left intended for Brandin Cooks,3.34,2.05,18.0,2023,267
1.0,5:13,4.0,2.0,WAS 23,7.0,0.0,Dak Prescott pass complete short middle to Jake Ferguson for 8 yards (tackle by Terrell Burgess and Sean Chandler),2.05,4.58,18.0,2023,267
1.0,4:49,1.0,10.0,WAS 15,7.0,0.0,Tony Pollard left tackle for no gain (tackle by Jalen Harris),4.58,3.95,18.0,2023,267
1.0,4:18,2.0,10.0,WAS 15,7.0,0.0,Dak Prescott pass incomplete short left intended for Michael Gallup,3.95,3.1,18.0,2023,267
1.0,4:13,3.0,10.0,WAS 15,7.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 1 yard (tackle by Quan Martin),3.1,2.51,18.0,2023,267
1.0,3:33,4.0,9.0,WAS 14,7.0,0.0,Brandon Aubrey 32 yard field goal no good blocked by Joshua Pryor (tackle by Chauncey Golston),2.51,-4.24,18.0,2023,267
1.0,3:21,1.0,10.0,DAL 20,7.0,0.0,Brian Robinson up the middle for no gain (tackle by DeMarcus Lawrence and Johnathan Hankins),4.24,3.69,18.0,2023,267
1.0,2:48,2.0,10.0,DAL 20,7.0,0.0,Sam Howell pass incomplete deep middle intended for Jahan Dotson (defended by Damone Clark),3.69,3.01,18.0,2023,267
1.0,2:41,3.0,10.0,DAL 20,7.0,0.0,Sam Howell pass complete short middle to Alex Armah for 10 yards (tackle by Donovan Wilson and Dorance Armstrong),3.01,4.91,18.0,2023,267
1.0,2:00,1.0,10.0,DAL 10,7.0,0.0,Brian Robinson up the middle for 1 yard (tackle by DeMarcus Lawrence),4.91,4.38,18.0,2023,267
1.0,1:24,2.0,9.0,DAL 9,7.0,0.0,Dyami Brown pass complete short left to Sam Howell for 4 yards (tackle by Stephon Gilmore),4.38,4.26,18.0,2023,267
1.0,0:37,3.0,5.0,DAL 5,7.0,0.0,Sam Howell scrambles right end for 4 yards (tackle by Micah Parsons),4.26,3.55,18.0,2023,267
2.0,15:00,4.0,1.0,DAL 1,7.0,6.0,"Sam Howell pass complete short left to Brian Robinson for 1 yard, touchdown",3.55,7.0,18.0,2023,267
2.0,14:57,,,DAL 15,7.0,7.0,Joey Slye kicks extra point good,0.0,0.0,18.0,2023,267
2.0,14:57,,,WAS 35,7.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,267
2.0,14:57,1.0,10.0,DAL 25,7.0,7.0,Tony Pollard right guard for 5 yards (tackle by K.J. Henry),0.61,0.74,18.0,2023,267
2.0,14:27,2.0,5.0,DAL 30,7.0,7.0,Tony Pollard left tackle for 5 yards (tackle by Quan Martin and Abdullah Anderson),0.74,1.27,18.0,2023,267
2.0,13:54,1.0,10.0,DAL 35,7.0,7.0,CeeDee Lamb right end for 7 yards (tackle by Quan Martin),1.27,1.67,18.0,2023,267
2.0,13:23,2.0,3.0,DAL 42,7.0,7.0,Dak Prescott pass complete short right to Brandin Cooks for 4 yards (tackle by Terrell Burgess),1.67,1.99,18.0,2023,267
2.0,12:46,1.0,10.0,DAL 46,7.0,7.0,Dak Prescott pass complete short right to Jake Ferguson for 11 yards (tackle by Terrell Burgess),1.99,2.72,18.0,2023,267
2.0,12:17,1.0,10.0,WAS 43,7.0,7.0,Dak Prescott pass complete short middle to Tony Pollard for 4 yards (tackle by Cody Barton),2.72,2.72,18.0,2023,267
2.0,11:44,2.0,6.0,WAS 39,7.0,7.0,Dak Prescott pass short middle (defended by Jalen Harris) intended for Michael Gallup is intercepted by Quan Martin at WAS-38 and returned for 7 yards (tackle by Tyler Biadasz),2.72,-1.93,18.0,2023,267
