Quarter,Time,Tm,Detail,NYJ,NWE,week,year,game_id
1.0,2:04,Jets,Greg Zuerlein 21 yard field goal,3,0,18.0,2023,264
2.0,9:32,Patriots,Chad Ryland 30 yard field goal,3,3,18.0,2023,264
,6:07,Jets,Greg Zuerlein 40 yard field goal,6,3,18.0,2023,264
4.0,8:08,Jets,Greg Zuerlein 33 yard field goal,9,3,18.0,2023,264
,1:47,Jets,Breece Hall 50 yard rush (Breece Hall run),17,3,18.0,2023,264
