Unnamed: 0,DEN,LVR,week,year,game_id
First Downs,17,22,18.0,2023,268
Rush-Yds-TDs,20-48-1,31-129-1,18.0,2023,268
Cmp-Att-Yd-TD-INT,20-34-272-1-1,20-32-244-2-0,18.0,2023,268
Sacked-Yards,5-34,3-14,18.0,2023,268
Net Pass Yards,238,230,18.0,2023,268
Total Yards,286,359,18.0,2023,268
Fumbles-Lost,1-0,0-0,18.0,2023,268
Turnovers,1,0,18.0,2023,268
Penalties-Yards,4-35,0-0,18.0,2023,268
Third Down Conv.,4-12,7-13,18.0,2023,268
Fourth Down Conv.,2-3,0-0,18.0,2023,268
Time of Possession,29:24,30:36,18.0,2023,268
