Unnamed: 0,HOU,IND,week,year,game_id
First Downs,16,21,18.0,2023,258
Rush-Yds-TDs,28-60-1,37-227-1,18.0,2023,258
Cmp-Att-Yd-TD-INT,20-26-264-2-0,13-24-141-0-0,18.0,2023,258
Sacked-Yards,2-18,1-8,18.0,2023,258
Net Pass Yards,246,133,18.0,2023,258
Total Yards,306,360,18.0,2023,258
Fumbles-Lost,0-0,1-1,18.0,2023,258
Turnovers,0,1,18.0,2023,258
Penalties-Yards,11-69,3-14,18.0,2023,258
Third Down Conv.,5-13,1-11,18.0,2023,258
Fourth Down Conv.,0-1,0-1,18.0,2023,258
Time of Possession,29:18,30:42,18.0,2023,258
