Unnamed: 0,PIT,BAL,week,year,game_id
First Downs,16,13,18.0,2023,257
Rush-Yds-TDs,39-155-1,25-106-0,18.0,2023,257
Cmp-Att-Yd-TD-INT,18-20-152-1-0,15-28-146-1-0,18.0,2023,257
Sacked-Yards,3-18,4-28,18.0,2023,257
Net Pass Yards,134,118,18.0,2023,257
Total Yards,289,224,18.0,2023,257
Fumbles-Lost,6-2,2-2,18.0,2023,257
Turnovers,2,2,18.0,2023,257
Penalties-Yards,4-25,3-26,18.0,2023,257
Third Down Conv.,6-15,4-13,18.0,2023,257
Fourth Down Conv.,0-0,1-1,18.0,2023,257
Time of Possession,34:54,25:06,18.0,2023,257
