Unnamed: 0,DAL,WAS,week,year,game_id
First Downs,31,12,18.0,2023,267
Rush-Yds-TDs,29-131-1,17-50-0,18.0,2023,267
Cmp-Att-Yd-TD-INT,34-40-309-4-1,20-28-157-1-2,18.0,2023,267
Sacked-Yards,0-0,4-27,18.0,2023,267
Net Pass Yards,309,130,18.0,2023,267
Total Yards,440,180,18.0,2023,267
Fumbles-Lost,0-0,1-1,18.0,2023,267
Turnovers,1,3,18.0,2023,267
Penalties-Yards,2-20,4-39,18.0,2023,267
Third Down Conv.,6-10,2-10,18.0,2023,267
Fourth Down Conv.,1-1,3-4,18.0,2023,267
Time of Possession,33:55,26:05,18.0,2023,267
