Player,Tm,Def Interceptions Int,Def Interceptions Yds,Def Interceptions TD,Def Interceptions Lng,Def Interceptions PD,Sk,Tackles Comb,Tackles Solo,Tackles Ast,Tackles TFL,Tackles QBHits,Fumbles FR,Fumbles Yds,Fumbles TD,Fumbles FF,week,year,game_id
D'Anthony Bell,CLE,1,2,0,2,1,0.0,6,6,0,1,0,0,0,0,0,18.0,2023,261
Duron Harmon,CLE,0,0,0,0,0,1.0,7,4,3,2,1,0,0,0,0,18.0,2023,261
Alex Wright,CLE,0,0,0,0,0,1.0,6,5,1,2,1,0,0,0,1,18.0,2023,261
Isaiah McGuire,CLE,0,0,0,0,0,1.0,5,5,0,2,2,0,0,0,0,18.0,2023,261
Tony Fields,CLE,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0,18.0,2023,261
Jordan Kunaszyk,CLE,0,0,0,0,0,0.0,8,6,2,2,0,0,0,0,0,18.0,2023,261
Sam Kamara,CLE,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0,18.0,2023,261
Matthew Adams,CLE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,18.0,2023,261
Vincent Gray,CLE,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0,18.0,2023,261
Cameron Mitchell,CLE,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0,18.0,2023,261
Ronnie Hickman,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,18.0,2023,261
Kahlef Hailassie,CLE,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,18.0,2023,261
Mohamoud Diabate,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,261
James Proche,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Jordan Elliott,CLE,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,18.0,2023,261
Siaki Ika,CLE,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,18.0,2023,261
Jordan Battle,CIN,1,0,0,0,2,1.0,4,3,1,2,1,0,0,0,0,18.0,2023,261
Logan Wilson,CIN,1,26,0,26,1,0.0,5,2,3,0,0,0,0,0,0,18.0,2023,261
Sam Hubbard,CIN,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,18.0,2023,261
B.J. Hill,CIN,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0,18.0,2023,261
Trey Hendrickson,CIN,0,0,0,0,0,0.5,2,1,1,0,2,0,0,0,0,18.0,2023,261
Daxton Hill,CIN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,18.0,2023,261
Akeem Davis-Gaither,CIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,18.0,2023,261
Mike Hilton,CIN,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0,18.0,2023,261
Joseph Ossai,CIN,0,0,0,0,1,0.0,3,1,2,1,2,0,0,0,0,18.0,2023,261
DJ Turner,CIN,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,18.0,2023,261
Zachary Carter,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,18.0,2023,261
Jalen Davis,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,261
Germaine Pratt,CIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,261
Cameron Sample,CIN,0,0,0,0,1,0.0,2,1,1,0,2,0,0,0,0,18.0,2023,261
Cam Taylor-Britt,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,18.0,2023,261
Jay Tufele,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,18.0,2023,261
Markus Bailey,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Chase Brown,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Sidney Jones,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,261
Myles Murphy,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,18.0,2023,261
Nick Scott,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Josh Tupou,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Mitchell Wilcox,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,18.0,2023,261
Jake Browning,CIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,18.0,2023,261
