Quarter,Time,Down,ToGo,Location,CHI,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,18.0,2023,265
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 66 yards, returned by Velus Jones for 32 yards (tackle by Kristian Welch and Patrick Taylor)",0.0,1.0,18.0,2023,265
1.0,14:55,1.0,10.0,CHI 31,0.0,0.0,Khalil Herbert right end for -2 yards (tackle by De'Vondre Campbell),1.0,0.19,18.0,2023,265
1.0,14:17,2.0,12.0,CHI 29,0.0,0.0,Justin Fields pass complete short middle to Cole Kmet for 8 yards (tackle by Jonathan Owens and Quay Walker),0.19,0.56,18.0,2023,265
1.0,13:38,3.0,4.0,CHI 37,0.0,0.0,Justin Fields scrambles up the middle for 6 yards (tackle by De'Vondre Campbell),0.56,1.8,18.0,2023,265
1.0,12:59,1.0,10.0,CHI 43,0.0,0.0,Khalil Herbert up the middle for 4 yards (tackle by Quay Walker),1.8,1.79,18.0,2023,265
1.0,12:28,2.0,6.0,CHI 47,0.0,0.0,Justin Fields pass complete short left to D.J. Moore for 9 yards (tackle by Jonathan Owens and Carrington Valentine),1.79,2.65,18.0,2023,265
1.0,11:48,1.0,10.0,GNB 44,0.0,0.0,Justin Fields pass complete short middle to Equanimeous St. Brown for 18 yards (tackle by De'Vondre Campbell and Darnell Savage),2.65,3.84,18.0,2023,265
1.0,11:06,1.0,10.0,GNB 26,0.0,0.0,Justin Fields sacked by Lukas Van Ness for -6 yards,3.84,2.49,18.0,2023,265
1.0,10:22,2.0,16.0,GNB 32,0.0,0.0,Justin Fields left end for 3 yards (tackle by Darnell Savage),2.49,2.21,18.0,2023,265
1.0,9:38,3.0,13.0,GNB 29,0.0,0.0,Justin Fields pass complete short left to Khalil Herbert for -3 yards (tackle by Karl Brooks),2.21,1.24,18.0,2023,265
1.0,8:59,4.0,16.0,GNB 32,3.0,0.0,Cairo Santos 50 yard field goal good,1.24,3.0,18.0,2023,265
1.0,8:54,,,CHI 35,3.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,265
1.0,8:54,1.0,10.0,GNB 25,3.0,0.0,Jordan Love pass complete short left to Aaron Jones for 4 yards (tackle by Tremaine Edmunds),0.61,0.6,18.0,2023,265
1.0,8:12,2.0,6.0,GNB 29,3.0,0.0,Jordan Love pass incomplete short left intended for Dontayvion Wicks,0.6,-0.1,18.0,2023,265
1.0,8:09,3.0,6.0,GNB 29,3.0,0.0,Jordan Love pass complete short middle to Aaron Jones for 7 yards (tackle by T.J. Edwards),-0.1,1.33,18.0,2023,265
1.0,7:30,1.0,10.0,GNB 36,3.0,0.0,Aaron Jones right end for 1 yard (tackle by T.J. Edwards),1.33,0.93,18.0,2023,265
1.0,6:55,2.0,9.0,GNB 37,3.0,0.0,Jordan Love pass complete deep left to Dontayvion Wicks for 19 yards (tackle by Terell Smith),0.93,2.65,18.0,2023,265
1.0,6:15,1.0,10.0,CHI 44,3.0,0.0,Aaron Jones left end for 14 yards (tackle by Tyrique Stevenson),2.65,3.58,18.0,2023,265
1.0,5:31,1.0,10.0,CHI 30,3.0,0.0,Jordan Love pass complete short middle to Bo Melton for 7 yards (tackle by Jack Sanborn),3.58,3.98,18.0,2023,265
1.0,4:53,2.0,3.0,CHI 23,3.0,0.0,Aaron Jones right end for 4 yards (tackle by Dominique Robinson),3.98,4.31,18.0,2023,265
1.0,4:14,1.0,10.0,CHI 19,3.0,0.0,Aaron Jones up the middle for 4 yards (tackle by Tremaine Edmunds and Dominique Robinson),4.31,4.35,18.0,2023,265
1.0,3:29,2.0,6.0,CHI 15,3.0,0.0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Tyrique Stevenson),4.35,3.58,18.0,2023,265
1.0,3:22,3.0,6.0,CHI 15,3.0,0.0,Jordan Love sacked by DeMarcus Walker for -8 yards,3.58,1.93,18.0,2023,265
1.0,2:39,4.0,14.0,CHI 23,3.0,0.0,Anders Carlson 41 yard field goal no good,1.93,-1.0,18.0,2023,265
1.0,2:36,1.0,10.0,CHI 31,3.0,0.0,Justin Fields pass complete short left to Tyler Scott for 12 yards (tackle by Carrington Valentine),1.0,1.8,18.0,2023,265
1.0,2:01,1.0,10.0,CHI 43,3.0,0.0,Justin Fields pass complete short left to D.J. Moore for 11 yards (tackle by Carrington Valentine),1.8,2.52,18.0,2023,265
1.0,1:22,1.0,10.0,GNB 46,3.0,0.0,Roschon Johnson up the middle for 8 yards (tackle by Keisean Nixon and De'Vondre Campbell),2.52,3.06,18.0,2023,265
1.0,0:39,2.0,2.0,GNB 38,3.0,0.0,Justin Fields up the middle for -4 yards (tackle by Rashan Gary),3.06,1.82,18.0,2023,265
2.0,15:00,3.0,6.0,GNB 42,3.0,0.0,Justin Fields sacked by Devonte Wyatt for -8 yards,1.82,-0.06,18.0,2023,265
2.0,14:09,4.0,14.0,GNB 50,3.0,0.0,"Trenton Gill punts 42 yards, fair catch by Jayden Reed at GB-8",-0.06,0.38,18.0,2023,265
2.0,14:02,1.0,10.0,GNB 8,3.0,0.0,Aaron Jones up the middle for 4 yards (tackle by Tremaine Edmunds),-0.38,-0.49,18.0,2023,265
2.0,13:23,2.0,6.0,GNB 12,3.0,0.0,Jordan Love pass complete deep middle to Jayden Reed for 32 yards (tackle by Jaquan Brisker),-0.49,1.86,18.0,2023,265
2.0,12:35,1.0,10.0,GNB 44,3.0,0.0,Jordan Love pass complete short left to Dontayvion Wicks for 8 yards (tackle by T.J. Edwards and Jaquan Brisker),1.86,2.4,18.0,2023,265
2.0,11:54,2.0,2.0,CHI 48,3.0,0.0,Bo Melton right end for 2 yards (tackle by Tremaine Edmunds),2.4,2.52,18.0,2023,265
2.0,11:14,1.0,10.0,CHI 46,3.0,0.0,Jordan Love pass complete short right to Malik Heath for 2 yards (tackle by T.J. Edwards),2.52,2.25,18.0,2023,265
2.0,10:32,2.0,8.0,CHI 44,3.0,0.0,Aaron Jones left guard for 3 yards (tackle by Jaquan Brisker),2.25,1.95,18.0,2023,265
2.0,10:14,,,,,,Timeout #1 by Chicago Bears,,,18.0,2023,265
2.0,10:14,3.0,5.0,CHI 41,3.0,0.0,Jordan Love pass complete short middle to Bo Melton for 10 yards (tackle by T.J. Edwards),1.95,3.51,18.0,2023,265
2.0,9:35,1.0,10.0,CHI 31,3.0,0.0,Aaron Jones right tackle for 12 yards (tackle by Terell Smith),3.51,4.31,18.0,2023,265
