Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Marcus Mariota,PHI,1,1,18.0,2023,270
Jalen Hurts,PHI,0,0,18.0,2023,270
Kenneth Gainwell,PHI,0,0,18.0,2023,270
Rashaad Penny,PHI,0,0,18.0,2023,270
Boston Scott,PHI,0,0,18.0,2023,270
Quez Watkins,PHI,0,0,18.0,2023,270
Britain Covey,PHI,0,0,18.0,2023,270
Olamide Zaccheaus,PHI,0,0,18.0,2023,270
Grant Calcaterra,PHI,0,0,18.0,2023,270
Julio Jones,PHI,0,0,18.0,2023,270
Jack Stoll,PHI,0,0,18.0,2023,270
A.J. Brown,PHI,1,1,18.0,2023,270
Dallas Goedert,PHI,0,0,18.0,2023,270
Tyrod Taylor,NYG,1,0,18.0,2023,270
Tommy DeVito,NYG,0,0,18.0,2023,270
Saquon Barkley,NYG,0,0,18.0,2023,270
Eric Gray,NYG,0,0,18.0,2023,270
Sterling Shepard,NYG,0,0,18.0,2023,270
Wan'Dale Robinson,NYG,0,0,18.0,2023,270
Darius Slayton,NYG,0,0,18.0,2023,270
Darren Waller,NYG,0,0,18.0,2023,270
Isaiah Hodgins,NYG,0,0,18.0,2023,270
Jalin Hyatt,NYG,0,0,18.0,2023,270
