Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
1.0,Denver Broncos,1.0,12.0,28.0,42.9,62.0,0.0,,,4.0,,4.0,4.0,9.3,62.0,54.5,6.0,50.0,12.0,7.0,17.6,1.8,1.8,18.07
2.0,Cleveland Browns,1.0,14.0,23.0,60.9,95.0,1.0,4.3,,5.0,,4.9,5.8,8.1,95.0,87.8,3.0,18.0,7.0,8.0,11.5,3.7,4.4,-2.56
3.0,New Orleans Saints,1.0,21.0,29.0,72.4,130.0,2.0,6.9,,5.0,,5.6,7.0,7.8,130.0,108.8,5.0,33.0,5.0,7.0,14.7,3.8,5.0,-3.94
4.0,Indianapolis Colts,1.0,19.0,31.0,61.3,133.0,1.0,3.2,2.0,5.0,6.5,4.7,2.5,7.7,133.0,56.7,3.0,13.0,6.0,4.0,8.8,3.9,1.9,7.97
5.0,Chicago Bears,1.0,13.0,20.0,65.0,134.0,2.0,10.0,1.0,5.0,5.0,7.2,6.9,11.0,134.0,98.5,3.0,9.0,5.0,6.0,13.0,5.8,5.6,3.66
6.0,Jacksonville Jaguars,1.0,18.0,35.0,51.4,142.0,1.0,2.9,2.0,9.0,5.7,4.4,2.4,8.6,142.0,49.0,1.0,12.0,5.0,2.0,2.8,3.9,2.0,8.0
7.0,Dallas Cowboys,1.0,19.0,23.0,82.6,144.0,0.0,,,0.0,,6.6,6.6,8.0,144.0,94.2,1.0,8.0,5.0,5.0,4.2,6.0,6.0,-3.98
8.0,San Francisco 49ers,1.0,16.0,23.0,69.6,146.0,0.0,,,2.0,,6.5,6.5,9.4,146.0,87.2,1.0,4.0,2.0,7.0,4.2,6.1,6.1,2.82
9.0,Los Angeles Rams,1.0,19.0,27.0,70.4,151.0,0.0,,1.0,4.0,3.7,7.0,5.3,9.9,151.0,74.3,3.0,37.0,7.0,3.0,10.0,5.0,3.5,7.2
10.0,Washington Commanders,1.0,17.0,37.0,45.9,157.0,0.0,,,6.0,,4.5,4.5,9.9,157.0,59.3,2.0,11.0,8.0,7.0,5.1,4.0,4.0,5.43
11.0,Atlanta Falcons,1.0,17.0,32.0,53.1,159.0,3.0,9.4,,7.0,,5.2,7.1,9.8,159.0,99.3,1.0,8.0,3.0,2.0,3.0,4.8,6.6,-6.95
12.0,Tennessee Titans,1.0,25.0,40.0,62.5,166.0,1.0,2.5,2.0,5.0,5.0,4.4,2.7,7.0,166.0,60.0,1.0,10.0,5.0,3.0,2.4,4.0,2.3,6.96
13.0,Carolina Panthers,1.0,19.0,31.0,61.3,178.0,1.0,3.2,1.0,4.0,3.2,5.7,4.9,9.4,178.0,74.4,,,1.0,1.0,,5.7,4.9,-3.87
14.0,Detroit Lions,1.0,16.0,22.0,72.7,188.0,2.0,9.1,,1.0,,8.5,10.4,11.8,188.0,128.6,,,2.0,2.0,,8.5,10.4,-13.0
15.0,Philadelphia Eagles,1.0,21.0,34.0,61.8,188.0,0.0,,,6.0,,5.5,5.5,9.0,188.0,76.6,,,1.0,3.0,,5.5,5.5,-7.98
16.0,Buffalo Bills,1.0,14.0,19.0,73.7,194.0,2.0,10.5,,1.0,,11.0,13.1,14.9,194.0,144.4,2.0,15.0,3.0,5.0,9.5,9.2,11.1,-10.8
17.0,Minnesota Vikings,1.0,21.0,35.0,60.0,198.0,1.0,2.9,,3.0,,6.0,6.6,10.0,198.0,86.6,2.0,12.0,3.0,6.0,5.4,5.4,5.9,1.9
18.0,Green Bay Packers,1.0,31.0,39.0,79.5,200.0,1.0,2.6,1.0,2.0,2.6,5.8,5.1,7.3,200.0,88.6,4.0,25.0,9.0,9.0,9.3,4.7,4.1,-2.92
19.0,Arizona Cardinals,1.0,27.0,46.0,58.7,208.0,0.0,,,9.0,,4.7,4.7,7.9,208.0,70.4,1.0,6.0,2.0,3.0,2.1,4.4,4.4,0.91
20.0,New York Giants,1.0,19.0,30.0,63.3,212.0,1.0,3.3,,3.0,,7.8,8.4,12.3,212.0,98.3,3.0,21.0,5.0,3.0,9.1,6.4,7.0,-4.43
21.0,Pittsburgh Steelers,1.0,16.0,22.0,72.7,212.0,1.0,4.5,,4.0,,9.9,10.8,13.6,212.0,119.1,1.0,6.0,6.0,6.0,4.3,9.2,10.1,-10.95
22.0,New York Jets,1.0,22.0,30.0,73.3,218.0,4.0,13.3,,4.0,,8.1,10.8,11.1,218.0,136.7,4.0,26.0,7.0,7.0,11.8,6.4,8.8,-13.47
23.0,Houston Texans,1.0,21.0,29.0,72.4,224.0,1.0,3.4,,1.0,,8.4,9.1,11.7,224.0,109.1,3.0,21.0,6.0,5.0,9.4,7.0,7.6,-7.74
24.0,Los Angeles Chargers,1.0,24.0,39.0,61.5,249.0,1.0,2.6,,4.0,,6.6,7.1,10.8,249.0,89.5,2.0,9.0,8.0,3.0,4.9,6.1,6.6,-3.73
25.0,Miami Dolphins,1.0,22.0,29.0,75.9,262.0,1.0,3.4,,4.0,,9.4,10.1,12.4,262.0,115.9,1.0,10.0,2.0,4.0,3.3,8.7,9.4,-16.08
26.0,Seattle Seahawks,1.0,26.0,35.0,74.3,265.0,2.0,5.7,2.0,4.0,5.7,7.9,6.5,10.7,265.0,92.2,1.0,12.0,8.0,7.0,2.8,7.4,6.0,-16.23
