Unnamed: 0,SFO,ARI,week,year,game_id
First Downs,24,22,15.0,2023,220
Rush-Yds-TDs,26-144-1,30-234-2,15.0,2023,220
Cmp-Att-Yd-TD-INT,18-28-262-4-0,26-39-211-1-2,15.0,2023,220
Sacked-Yards,0-0,3-9,15.0,2023,220
Net Pass Yards,262,202,15.0,2023,220
Total Yards,406,436,15.0,2023,220
Fumbles-Lost,0-0,5-0,15.0,2023,220
Turnovers,0,2,15.0,2023,220
Penalties-Yards,1-5,4-28,15.0,2023,220
Third Down Conv.,4-7,7-16,15.0,2023,220
Fourth Down Conv.,0-0,3-4,15.0,2023,220
Time of Possession,25:49,34:11,15.0,2023,220
