Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,,15.0,2023,209
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 60 yards, returned by Derius Davis for 24 yards (tackle by Brandon Bolden)",0.0,0.87,15.0,2023,209
1.0,14:53,1.0,10.0,LAC 29,0.0,0.0,Austin Ekeler right guard for 6 yards (tackle by Divine Deablo),0.87,1.14,15.0,2023,209
1.0,14:21,2.0,4.0,LAC 35,0.0,0.0,Easton Stick pass complete short left to Austin Ekeler for 1 yard (tackle by Maxx Crosby),1.14,0.56,15.0,2023,209
1.0,13:48,3.0,3.0,LAC 36,0.0,0.0,Easton Stick pass incomplete short left intended for Gerald Everett (defended by Marcus Epps) (defended by John Jenkins),0.56,-0.98,15.0,2023,209
1.0,13:44,4.0,3.0,LAC 36,0.0,0.0,"JK Scott punts 47 yards, fair catch by DeAndre Carter at LV-17. Penalty on Ja'Sir Taylor: Fair Catch Interference, 15 yards (accepted)",-0.98,-1.07,15.0,2023,209
1.0,13:33,1.0,10.0,LVR 32,0.0,0.0,Zamir White left tackle for 8 yards (tackle by Eric Kendricks),1.07,1.61,15.0,2023,209
1.0,12:54,2.0,2.0,LVR 40,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for Tre Tucker (defended by Michael Davis),1.61,0.89,15.0,2023,209
1.0,12:47,3.0,2.0,LVR 40,0.0,0.0,Ameer Abdullah up the middle for 6 yards (tackle by Eric Kendricks and Austin Johnson),0.89,1.99,15.0,2023,209
1.0,12:12,1.0,10.0,LVR 46,0.0,0.0,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Asante Samuel),1.99,1.45,15.0,2023,209
1.0,12:07,2.0,10.0,LVR 46,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Austin Johnson),1.45,1.69,15.0,2023,209
1.0,11:30,3.0,3.0,LAC 47,0.0,0.0,Ameer Abdullah right tackle for 5 yards (tackle by Eric Kendricks),1.69,2.79,15.0,2023,209
1.0,10:53,1.0,10.0,LAC 42,0.0,0.0,Brandon Bolden right end for -1 yards (tackle by Michael Davis),2.79,2.11,15.0,2023,209
1.0,10:11,2.0,11.0,LAC 43,0.0,0.0,"Aidan O'Connell pass complete to Hunter Renfrow for no gain (tackle by Eric Kendricks). Penalty on Derwin James: Defensive Offside, 5 yards (accepted) (no play)",2.11,2.78,15.0,2023,209
1.0,9:50,2.0,6.0,LAC 38,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for 24 yards (tackle by Alohi Gilman and Derwin James),2.78,4.65,15.0,2023,209
1.0,9:02,1.0,10.0,LAC 14,0.0,0.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,4.65,4.0,15.0,2023,209
1.0,8:59,2.0,10.0,LAC 14,0.0,0.0,Aidan O'Connell pass incomplete short left intended for Michael Mayer (defended by Khalil Mack),4.0,3.11,15.0,2023,209
1.0,8:55,3.0,10.0,LAC 14,0.0,0.0,Aidan O'Connell pass complete short middle to Michael Mayer for 13 yards (tackle by Eric Kendricks),3.11,6.97,15.0,2023,209
1.0,8:13,1.0,1.0,LAC 1,0.0,6.0,"Zamir White left guard for 1 yard, touchdown",6.97,7.0,15.0,2023,209
1.0,8:10,,,LAC 15,0.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,15.0,2023,209
1.0,8:10,,,LVR 35,0.0,7.0,"Daniel Carlson kicks off 68 yards, returned by Derius Davis for 24 yards (tackle by Curtis Bolton)",0.0,0.34,15.0,2023,209
1.0,8:07,1.0,10.0,LAC 21,0.0,7.0,Easton Stick pass complete short left to Jalen Guyton for 14 yards (tackle by Nate Hobbs and Amik Robertson),0.34,1.27,15.0,2023,209
1.0,7:28,1.0,10.0,LAC 35,0.0,7.0,Easton Stick pass complete short right to Gerald Everett for 13 yards (tackle by Jack Jones),1.27,2.13,15.0,2023,209
1.0,6:51,1.0,10.0,LAC 48,0.0,7.0,Joshua Kelley up the middle for no gain (tackle by Divine Deablo and Jerry Tillery),2.13,1.58,15.0,2023,209
1.0,6:12,2.0,10.0,LAC 48,0.0,7.0,"Easton Stick sacked by Malcolm Koonce for -6 yards. Easton Stick fumbles (forced by Malcolm Koonce), recovered by Tyree Wilson at LAC-42 (tackle by Malcolm Koonce)",1.58,-2.79,15.0,2023,209
1.0,6:07,1.0,10.0,LAC 42,0.0,7.0,Zamir White left guard for 2 yards (tackle by Khalil Mack),2.79,2.51,15.0,2023,209
1.0,5:31,2.0,8.0,LAC 40,0.0,7.0,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Michael Davis),2.51,1.82,15.0,2023,209
1.0,5:25,3.0,8.0,LAC 40,0.0,7.0,Aidan O'Connell pass complete short middle to Michael Mayer for 10 yards (tackle by Eric Kendricks and Jaylinn Hawkins),1.82,3.58,15.0,2023,209
1.0,4:47,1.0,10.0,LAC 30,0.0,13.0,"Aidan O'Connell pass complete deep left to Tre Tucker for 30 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.58,7.0,15.0,2023,209
