Quarter,Time,Tm,Detail,DAL,BUF,week,year,game_id
1.0,8:06,Bills,Latavius Murray 2 yard rush (Tyler Bass kick),0,7,15.0,2023,222
2.0,12:52,Bills,James Cook 18 yard pass from Josh Allen (Tyler Bass kick),0,14,15.0,2023,222
,7:13,Cowboys,Brandon Aubrey 32 yard field goal,3,14,15.0,2023,222
,1:36,Bills,Josh Allen 1 yard rush (Tyler Bass kick),3,21,15.0,2023,222
3.0,2:36,Bills,Tyler Bass 23 yard field goal,3,24,15.0,2023,222
4.0,12:30,Bills,James Cook 24 yard rush (Tyler Bass kick),3,31,15.0,2023,222
,2:48,Cowboys,CeeDee Lamb 3 yard rush (Brandon Aubrey kick),10,31,15.0,2023,222
