Unnamed: 0,DAL,BUF,week,year,game_id
First Downs,14,28,15.0,2023,222
Rush-Yds-TDs,20-89-1,49-266-3,15.0,2023,222
Cmp-Att-Yd-TD-INT,21-34-134-0-1,7-15-94-1-0,15.0,2023,222
Sacked-Yards,3-28,1-9,15.0,2023,222
Net Pass Yards,106,85,15.0,2023,222
Total Yards,195,351,15.0,2023,222
Fumbles-Lost,0-0,1-0,15.0,2023,222
Turnovers,1,0,15.0,2023,222
Penalties-Yards,5-48,1-15,15.0,2023,222
Third Down Conv.,5-13,5-9,15.0,2023,222
Fourth Down Conv.,1-2,0-0,15.0,2023,222
Time of Possession,24:55,35:05,15.0,2023,222
