Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Tony Pollard,DAL,11,52,0,3.0,32,2.9,20,1.8,0,,15.0,2023,222
Dak Prescott,DAL,4,27,0,2.0,22,5.5,5,1.3,0,,15.0,2023,222
Rico Dowdle,DAL,3,4,0,,0,0.0,4,1.3,0,,15.0,2023,222
CeeDee Lamb,DAL,1,3,1,1.0,0,0.0,3,3.0,1,1.0,15.0,2023,222
Hunter Luepke,DAL,1,3,0,1.0,1,1.0,2,2.0,0,,15.0,2023,222
James Cook,BUF,25,179,1,9.0,107,4.3,72,2.9,1,25.0,15.0,2023,222
Ty Johnson,BUF,9,54,0,4.0,34,3.8,20,2.2,0,,15.0,2023,222
Josh Allen,BUF,8,24,1,5.0,4,0.5,20,2.5,0,,15.0,2023,222
Latavius Murray,BUF,5,11,1,2.0,-1,-0.2,12,2.4,1,5.0,15.0,2023,222
Kyle Allen,BUF,2,-2,0,,-2,-1.0,0,0.0,0,,15.0,2023,222
