Unnamed: 0,HOU,TEN,week,year,game_id
First Downs,21,14,15.0,2023,216
Rush-Yds-TDs,32-148-0,30-66-1,15.0,2023,216
Cmp-Att-Yd-TD-INT,23-36-229-1-1,17-26-199-0-1,15.0,2023,216
Sacked-Yards,4-37,7-61,15.0,2023,216
Net Pass Yards,192,138,15.0,2023,216
Total Yards,340,204,15.0,2023,216
Fumbles-Lost,1-0,1-0,15.0,2023,216
Turnovers,1,1,15.0,2023,216
Penalties-Yards,8-67,5-50,15.0,2023,216
Third Down Conv.,4-15,5-15,15.0,2023,216
Fourth Down Conv.,1-1,1-1,15.0,2023,216
Time of Possession,36:32,33:28,15.0,2023,216
