Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,,15.0,2023,217
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 62 yards, returned by Jalen Reagor for 20 yards (tackle by Justin Watson). Penalty on Brenden Schooler: Offensive Holding, 10 yards (accepted)",0.0,-0.32,15.0,2023,217
1.0,14:52,1.0,10.0,NWE 13,0.0,0.0,Ezekiel Elliott left tackle for -1 yards (tackle by Justin Reid and Nick Bolton),-0.32,-0.93,15.0,2023,217
1.0,14:22,2.0,12.0,NWE 12,0.0,0.0,Bailey Zappe pass complete short right to DeVante Parker for 3 yards (tackle by Nick Bolton and Chamarri Conner),-0.93,-1.18,15.0,2023,217
1.0,13:38,3.0,8.0,NWE 15,0.0,0.0,Bailey Zappe pass incomplete short middle intended for Demario Douglas,-1.18,-2.44,15.0,2023,217
1.0,13:33,4.0,8.0,NWE 15,0.0,0.0,"Bryce Baringer punts 47 yards, fair catch by Richie James at KC-38",-2.44,-1.47,15.0,2023,217
1.0,13:24,1.0,10.0,KAN 38,0.0,0.0,Patrick Mahomes pass complete deep right to Noah Gray for 32 yards (tackle by Jonathan Jones and Jabrill Peppers),1.47,3.58,15.0,2023,217
1.0,12:40,1.0,10.0,NWE 30,0.0,0.0,"Patrick Mahomes pass complete short left to Rashee Rice for -14 yards (tackle by Myles Bryant). Penalty on Alex Austin: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.58,3.91,15.0,2023,217
1.0,12:37,1.0,10.0,NWE 25,0.0,0.0,Clyde Edwards-Helaire left guard for 5 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),3.91,4.04,15.0,2023,217
1.0,11:52,2.0,5.0,NWE 20,0.0,0.0,"Patrick Mahomes pass complete short right to Kadarius Toney for no gain (tackle by Alex Austin). Penalty on Rashee Rice: Offensive Pass Interference, 10 yards (accepted) (no play)",4.04,2.69,15.0,2023,217
1.0,11:24,2.0,15.0,NWE 30,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Myles Bryant and Christian Barmore),2.69,2.61,15.0,2023,217
1.0,10:39,3.0,10.0,NWE 26,0.0,0.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 6 yards (tackle by Jabrill Peppers),2.61,2.17,15.0,2023,217
1.0,9:56,4.0,5.0,NWE 20,0.0,0.0,Harrison Butker 39 yard field goal no good,2.17,-0.87,15.0,2023,217
1.0,9:51,1.0,10.0,NWE 29,0.0,0.0,Bailey Zappe pass complete short left to Hunter Henry for 2 yards (tackle by Justin Reid),0.87,0.6,15.0,2023,217
