Quarter,Time,Tm,Detail,KAN,NWE,week,year,game_id
1.0,1:33,Chiefs,Rashee Rice 4 yard pass from Jerick McKinnon (Harrison Butker kick),7,0,15.0,2023,217
2.0,7:09,Patriots,Hunter Henry 16 yard pass from Bailey Zappe (Chad Ryland kick),7,7,15.0,2023,217
,4:47,Patriots,Chad Ryland 25 yard field goal,7,10,15.0,2023,217
,0:35,Chiefs,Jerick McKinnon 8 yard pass from Patrick Mahomes (Harrison Butker kick),14,10,15.0,2023,217
3.0,10:29,Chiefs,Harrison Butker 29 yard field goal,17,10,15.0,2023,217
,9:22,Chiefs,Clyde Edwards-Helaire 6 yard pass from Patrick Mahomes (Harrison Butker kick),24,10,15.0,2023,217
,3:40,Chiefs,Harrison Butker 54 yard field goal,27,10,15.0,2023,217
4.0,8:24,Patriots,Kevin Harris 18 yard rush (Chad Ryland kick),27,17,15.0,2023,217
