Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Falcons,-2.0,-10.46,6.23,-15.94,-6.43,9.24,0.1,8.15,0.0,-0.79,-2.21,2.15,2.3,-2.41,-0.62,15.0,2023,213
Panthers,2.0,-9.24,-0.1,-8.15,0.0,10.46,-6.23,15.94,6.43,0.79,-2.15,2.21,2.41,-2.3,0.62,15.0,2023,213
