Unnamed: 0,PHI,SEA,week,year,game_id
First Downs,23,16,15.0,2023,224
Rush-Yds-TDs,38-178-2,24-100-1,15.0,2023,224
Cmp-Att-Yd-TD-INT,17-31-143-0-2,22-33-208-1-0,15.0,2023,224
Sacked-Yards,0-0,2-11,15.0,2023,224
Net Pass Yards,143,197,15.0,2023,224
Total Yards,321,297,15.0,2023,224
Fumbles-Lost,0-0,0-0,15.0,2023,224
Turnovers,2,0,15.0,2023,224
Penalties-Yards,5-40,5-35,15.0,2023,224
Third Down Conv.,9-16,6-14,15.0,2023,224
Fourth Down Conv.,1-1,0-0,15.0,2023,224
Time of Possession,32:58,27:02,15.0,2023,224
