Quarter,Time,Down,ToGo,Location,DEN,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,,15.0,2023,212
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 66 yards, returned by Craig Reynolds for 26 yards (tackle by Michael Burton)",0.0,0.61,15.0,2023,212
1.0,14:56,1.0,10.0,DET 25,0.0,0.0,Jared Goff pass incomplete short right,0.61,0.06,15.0,2023,212
1.0,14:46,2.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 21 yards (tackle by Alex Singleton),0.06,1.99,15.0,2023,212
1.0,14:01,1.0,10.0,DET 46,0.0,0.0,Jared Goff pass incomplete deep left intended for Jameson Williams (defended by Justin Simmons),1.99,1.45,15.0,2023,212
1.0,13:52,2.0,10.0,DET 46,0.0,0.0,Jared Goff pass complete short left to David Montgomery for 4 yards (tackle by Jonathon Cooper),1.45,1.29,15.0,2023,212
1.0,13:10,3.0,6.0,DET 50,0.0,0.0,Jared Goff pass incomplete short right intended for David Montgomery,1.29,-0.06,15.0,2023,212
1.0,13:06,4.0,6.0,DET 50,0.0,0.0,Jack Fox punts 21 yards out of bounds,-0.06,-0.87,15.0,2023,212
1.0,12:58,1.0,10.0,DEN 29,0.0,0.0,Russell Wilson pass complete short middle to Jerry Jeudy for 40 yards (tackle by Brian Branch),0.87,3.51,15.0,2023,212
1.0,12:27,1.0,10.0,DET 31,0.0,0.0,Marvin Mims right end for 11 yards (tackle by Alex Anzalone),3.51,4.24,15.0,2023,212
1.0,11:53,1.0,10.0,DET 20,0.0,0.0,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin (defended by Khalil Dorsey),4.24,3.69,15.0,2023,212
1.0,11:52,2.0,10.0,DET 20,0.0,0.0,"Russell Wilson sacked by Ifeatu Melifonwu for -10 yards. Russell Wilson fumbles (forced by Ifeatu Melifonwu), recovered by Isaiah Buggs at DET-30 and returned for 33 yards (tackle by Quinn Meinerz)",3.69,-3.12,15.0,2023,212
1.0,11:38,1.0,10.0,DEN 37,0.0,0.0,Jared Goff pass complete short left to Jameson Williams for 1 yard (tackle by Josey Jewell),3.12,2.71,15.0,2023,212
1.0,11:03,2.0,9.0,DEN 36,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Jonathan Harris),2.71,2.54,15.0,2023,212
1.0,10:30,3.0,5.0,DEN 32,0.0,0.0,Jared Goff sacked by D.J. Jones for -7 yards,2.54,0.66,15.0,2023,212
1.0,9:43,4.0,12.0,DEN 39,0.0,0.0,"Jack Fox punts 39 yards, touchback.",0.66,-0.28,15.0,2023,212
1.0,9:33,1.0,10.0,DEN 20,0.0,0.0,Javonte Williams up the middle for 1 yard (tackle by Alex Anzalone),0.28,-0.13,15.0,2023,212
1.0,8:55,2.0,9.0,DEN 21,0.0,0.0,Russell Wilson pass incomplete deep right intended for Marvin Mims (defended by Aidan Hutchinson),-0.13,-0.82,15.0,2023,212
