Quarter,Time,Tm,Detail,NYJ,MIA,week,year,game_id
1.0,7:37,Dolphins,Raheem Mostert 2 yard rush (Jason Sanders kick),0,7,15.0,2023,218
2.0,13:56,Dolphins,Jason Sanders 37 yard field goal,0,10,15.0,2023,218
,7:45,Dolphins,Jaylen Waddle 60 yard pass from Tua Tagovailoa (Jason Sanders kick),0,17,15.0,2023,218
,1:03,Dolphins,Raheem Mostert 1 yard rush (Jason Sanders kick),0,24,15.0,2023,218
3.0,8:36,Dolphins,Jason Sanders 27 yard field goal,0,27,15.0,2023,218
4.0,11:42,Dolphins,Jason Sanders 35 yard field goal,0,30,15.0,2023,218
