Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Devin Singletary,HOU,26,121,0,5.0,68,2.6,53,2.0,1,26.0,15.0,2023,216
Case Keenum,HOU,2,1,0,0.0,0,0.0,1,0.5,0,,15.0,2023,216
Xavier Hutchinson,HOU,1,5,0,,5,5.0,0,0.0,0,,15.0,2023,216
Dare Ogunbowale,HOU,1,17,0,,9,9.0,8,8.0,0,,15.0,2023,216
Dameon Pierce,HOU,1,3,0,,1,1.0,2,2.0,0,,15.0,2023,216
Steven Sims,HOU,1,1,0,,0,0.0,1,1.0,0,,15.0,2023,216
Derrick Henry,TEN,16,9,0,2.0,-6,-0.4,15,0.9,1,16.0,15.0,2023,216
Tyjae Spears,TEN,9,30,0,2.0,14,1.6,16,1.8,0,,15.0,2023,216
Will Levis,TEN,4,25,1,2.0,12,3.0,13,3.3,0,,15.0,2023,216
Treylon Burks,TEN,1,2,0,0.0,2,2.0,0,0.0,0,,15.0,2023,216
