Unnamed: 0,KAN,NWE,week,year,game_id
First Downs,19,10,15.0,2023,217
Rush-Yds-TDs,20-43-0,16-52-1,15.0,2023,217
Cmp-Att-Yd-TD-INT,28-38-309-3-2,23-31-180-1-1,15.0,2023,217
Sacked-Yards,3-26,4-26,15.0,2023,217
Net Pass Yards,283,154,15.0,2023,217
Total Yards,326,206,15.0,2023,217
Fumbles-Lost,2-0,2-0,15.0,2023,217
Turnovers,2,1,15.0,2023,217
Penalties-Yards,2-15,5-45,15.0,2023,217
Third Down Conv.,5-13,2-12,15.0,2023,217
Fourth Down Conv.,0-1,1-2,15.0,2023,217
Time of Possession,31:14,28:46,15.0,2023,217
