Unnamed: 0,WAS,LAR,week,year,game_id
First Downs,14,23,15.0,2023,221
Rush-Yds-TDs,21-79-0,37-196-1,15.0,2023,221
Cmp-Att-Yd-TD-INT,19-36-226-3-1,25-33-258-2-0,15.0,2023,221
Sacked-Yards,1-8,3-9,15.0,2023,221
Net Pass Yards,218,249,15.0,2023,221
Total Yards,297,445,15.0,2023,221
Fumbles-Lost,1-0,2-2,15.0,2023,221
Turnovers,1,2,15.0,2023,221
Penalties-Yards,3-28,5-36,15.0,2023,221
Third Down Conv.,3-14,9-16,15.0,2023,221
Fourth Down Conv.,3-5,0-0,15.0,2023,221
Time of Possession,24:07,35:53,15.0,2023,221
