Quarter,Time,Tm,Detail,NYG,NOR,week,year,game_id
1.0,10:00,Giants,Randy Bullock 56 yard field goal,3,0,15.0,2023,219
,0:29,Saints,Keith Kirkwood 7 yard pass from Derek Carr (Blake Grupe kick),3,7,15.0,2023,219
2.0,0:00,Giants,Jamie Gillan 40 yard field goal,6,7,15.0,2023,219
3.0,8:39,Saints,Juwan Johnson 23 yard pass from Derek Carr (Blake Grupe kick),6,14,15.0,2023,219
,4:17,Saints,Blake Grupe 50 yard field goal,6,17,15.0,2023,219
4.0,10:47,Saints,Jimmy Graham 1 yard pass from Derek Carr (Blake Grupe kick),6,24,15.0,2023,219
