Quarter,Time,Tm,Detail,PHI,SEA,week,year,game_id
1.0,6:31,Eagles,Jalen Hurts 3 yard rush (Jake Elliott kick),7,0,15.0,2023,224
2.0,6:20,Eagles,Jake Elliott 27 yard field goal,10,0,15.0,2023,224
,1:42,Seahawks,Jason Myers 26 yard field goal,10,3,15.0,2023,224
3.0,10:05,Seahawks,Kenneth Walker III 23 yard rush (Jason Myers kick),10,10,15.0,2023,224
,4:43,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),17,10,15.0,2023,224
4.0,10:00,Seahawks,Jason Myers 43 yard field goal,17,13,15.0,2023,224
,0:28,Seahawks,Jaxon Smith-Njigba 29 yard pass from Drew Lock (Jason Myers kick),17,20,15.0,2023,224
