Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Giants to receive the opening kickoff.",,,15.0,2023,219
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,219
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Tommy DeVito pass incomplete deep right intended for Darius Slayton (defended by Paulson Adebo),0.61,0.06,15.0,2023,219
1.0,14:54,2.0,10.0,NYG 25,0.0,0.0,Saquon Barkley left guard for 1 yard (tackle by Khalen Saunders and Pete Werner),0.06,-0.49,15.0,2023,219
1.0,14:14,3.0,9.0,NYG 26,0.0,0.0,Tommy DeVito pass complete short left to Daniel Bellinger for 8 yards (tackle by Alontae Taylor),-0.49,-1.11,15.0,2023,219
1.0,13:30,4.0,1.0,NYG 34,0.0,0.0,"Jamie Gillan punts, fair catch by Rashid Shaheed at NO-9. Penalty on J.T. Gray: Running Into the Kicker, 6 yards (accepted) (no play)",-1.11,1.6,15.0,2023,219
1.0,13:22,1.0,10.0,NYG 40,0.0,0.0,Saquon Barkley right tackle for no gain (tackle by Nathan Shepherd),1.6,1.05,15.0,2023,219
1.0,12:43,2.0,10.0,NYG 40,0.0,0.0,Tommy DeVito pass complete short right to Saquon Barkley for 17 yards (tackle by Tyrann Mathieu),1.05,2.72,15.0,2023,219
1.0,12:10,1.0,10.0,NOR 43,0.0,0.0,Tommy DeVito pass complete short left to Darren Waller for 1 yard (tackle by Demario Davis),2.72,2.31,15.0,2023,219
1.0,11:30,2.0,9.0,NOR 42,0.0,0.0,Matt Breida left tackle for 2 yards (tackle by Demario Davis),2.31,1.88,15.0,2023,219
1.0,10:49,3.0,7.0,NOR 40,0.0,0.0,Tommy DeVito scrambles up the middle for 2 yards (tackle by Pete Werner),1.88,0.72,15.0,2023,219
1.0,10:06,4.0,5.0,NOR 38,3.0,0.0,Randy Bullock 56 yard field goal good,0.72,3.0,15.0,2023,219
1.0,10:00,,,NYG 35,3.0,0.0,"Randy Bullock kicks off 63 yards, returned by Lynn Bowden for 18 yards (tackle by Matt Breida)",0.0,0.28,15.0,2023,219
1.0,9:56,1.0,10.0,NOR 20,3.0,0.0,Derek Carr pass complete short left to Lynn Bowden for 3 yards (tackle by Cordale Flott),0.28,0.14,15.0,2023,219
1.0,9:24,2.0,7.0,NOR 23,3.0,0.0,Derek Carr pass incomplete short right intended for Foster Moreau,0.14,-0.56,15.0,2023,219
1.0,9:18,3.0,7.0,NOR 23,3.0,0.0,Derek Carr pass complete short right to Taysom Hill for 4 yards (tackle by Azeez Ojulari),-0.56,-1.57,15.0,2023,219
1.0,8:39,4.0,3.0,NOR 27,3.0,0.0,"Lou Hedley punts 41 yards, fair catch by Gunner Olszewski at NYG-32",-1.57,-1.07,15.0,2023,219
1.0,8:31,1.0,10.0,NYG 32,3.0,0.0,Tommy DeVito sacked by Demario Davis for -8 yards,1.07,-0.55,15.0,2023,219
