Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,15.0,2023,220
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,"Kyler Murray pass incomplete deep middle intended for Michael Wilson. Penalty on Kevin Givens: Defensive Offside, 5 yards (accepted) (no play)",0.61,1.34,15.0,2023,220
1.0,14:54,1.0,5.0,ARI 30,0.0,0.0,James Conner up the middle for no gain (tackle by Clelin Ferrell),1.34,0.74,15.0,2023,220
1.0,14:19,2.0,5.0,ARI 30,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Deommodore Lenoir),0.74,1.66,15.0,2023,220
1.0,13:42,1.0,10.0,ARI 41,0.0,0.0,Kyler Murray pass complete deep right to Trey McBride for 38 yards (tackle by Fred Warner),1.66,4.17,15.0,2023,220
1.0,12:55,1.0,10.0,SFO 21,0.0,0.0,James Conner right tackle for 4 yards (tackle by Charvarius Ward),4.17,4.2,15.0,2023,220
1.0,12:05,2.0,6.0,SFO 17,0.0,0.0,Kyler Murray scrambles left end for 12 yards (tackle by Ji'Ayir Brown),4.2,6.06,15.0,2023,220
1.0,11:30,,,,,,Timeout #1 by Arizona Cardinals,,,15.0,2023,220
1.0,11:30,1.0,5.0,SFO 5,0.0,0.0,James Conner left tackle for 3 yards (tackle by Charvarius Ward and Deommodore Lenoir),6.06,5.72,15.0,2023,220
1.0,10:45,2.0,2.0,SFO 2,0.0,6.0,"James Conner up the middle for 2 yards, touchdown",5.72,7.0,15.0,2023,220
1.0,10:40,,,SFO 15,0.0,7.0,Matt Prater kicks extra point good,0.0,0.0,15.0,2023,220
1.0,10:40,,,ARI 35,0.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,220
1.0,10:40,1.0,10.0,SFO 25,0.0,7.0,Brock Purdy pass complete short left to Brandon Aiyuk for 7 yards (tackle by Starling Thomas),0.61,1.01,15.0,2023,220
1.0,10:07,2.0,3.0,SFO 32,0.0,7.0,Christian McCaffrey right tackle for 2 yards (tackle by Zaven Collins and Josh Woods),1.01,0.56,15.0,2023,220
1.0,9:29,3.0,1.0,SFO 34,0.0,7.0,Christian McCaffrey right end for 13 yards (tackle by Starling Thomas),0.56,2.06,15.0,2023,220
1.0,8:46,1.0,10.0,SFO 47,0.0,7.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk (defended by Antonio Hamilton),2.06,1.52,15.0,2023,220
1.0,8:37,2.0,10.0,SFO 47,0.0,7.0,Brock Purdy pass complete short left to Deebo Samuel for 11 yards (tackle by Starling Thomas),1.52,2.79,15.0,2023,220
1.0,8:08,1.0,10.0,ARI 42,0.0,7.0,Christian McCaffrey right tackle for 4 yards (tackle by Roy Lopez),2.79,2.78,15.0,2023,220
