Quarter,Time,Tm,Detail,LAC,LVR,week,year,game_id
1.0,8:10,Raiders,Zamir White 1 yard rush (Daniel Carlson kick),0,7,15.0,2023,209
,4:41,Raiders,Tre Tucker 30 yard pass from Aidan O'Connell (Daniel Carlson kick),0,14,15.0,2023,209
,3:07,Raiders,Jakobi Meyers 22 yard pass from Aidan O'Connell (Daniel Carlson kick),0,21,15.0,2023,209
2.0,9:15,Raiders,Michael Mayer 11 yard pass from Aidan O'Connell (Daniel Carlson kick),0,28,15.0,2023,209
,3:50,Raiders,Brandon Bolden 26 yard rush (Daniel Carlson kick),0,35,15.0,2023,209
,0:31,Raiders,Tre Tucker 20 yard pass from Aidan O'Connell (Daniel Carlson kick),0,42,15.0,2023,209
3.0,10:42,Raiders,Davante Adams 3 yard pass from Jakobi Meyers (Daniel Carlson kick),0,49,15.0,2023,209
,10:27,Chargers,Josh Palmer 79 yard pass from Easton Stick (Cameron Dicker kick),7,49,15.0,2023,209
,0:00,Raiders,John Jenkins 44 yard fumble return (Daniel Carlson kick),7,56,15.0,2023,209
4.0,14:31,Raiders,Jack Jones 16 yard interception return (Daniel Carlson kick),7,63,15.0,2023,209
,8:39,Chargers,Alex Erickson 13 yard pass from Easton Stick (Cameron Dicker kick),14,63,15.0,2023,209
,2:38,Chargers,Quentin Johnston 6 yard pass from Easton Stick (Cameron Dicker kick),21,63,15.0,2023,209
