Quarter,Time,Down,ToGo,Location,BAL,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,15.0,2023,223
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 68 yards, returned by Jamal Agnew for 24 yards (tackle by Arthur Maulet)",0.0,0.34,15.0,2023,223
1.0,14:52,1.0,10.0,JAX 21,0.0,0.0,Travis Etienne right end for 6 yards (tackle by Patrick Queen),0.34,0.61,15.0,2023,223
1.0,14:18,2.0,4.0,JAX 27,0.0,0.0,Trevor Lawrence pass incomplete deep left intended for Calvin Ridley,0.61,-0.1,15.0,2023,223
1.0,14:12,3.0,4.0,JAX 27,0.0,0.0,Trevor Lawrence pass complete short middle to Travis Etienne for 13 yards (tackle by Kyle Hamilton and Marcus Williams),-0.1,1.6,15.0,2023,223
1.0,13:34,1.0,10.0,JAX 40,0.0,0.0,Travis Etienne up the middle for 4 yards (tackle by Arthur Maulet),1.6,1.59,15.0,2023,223
1.0,13:04,2.0,6.0,JAX 44,0.0,0.0,Trevor Lawrence pass complete short right to Parker Washington for no gain (tackle by Kyle Hamilton),1.59,0.89,15.0,2023,223
1.0,12:23,3.0,6.0,JAX 44,0.0,0.0,Trevor Lawrence pass incomplete short middle intended for Zay Jones,0.89,-0.46,15.0,2023,223
1.0,12:19,4.0,6.0,JAX 44,0.0,0.0,"Logan Cooke punts 45 yards, fair catch by Tylan Wallace at BAL-11",-0.46,0.37,15.0,2023,223
1.0,12:12,1.0,10.0,BAL 11,0.0,0.0,Keaton Mitchell up the middle for 2 yards (tackle by Devin Lloyd),-0.37,-0.63,15.0,2023,223
1.0,11:26,2.0,8.0,BAL 13,0.0,0.0,Lamar Jackson pass complete short left to Isaiah Likely for 18 yards (tackle by Devin Lloyd),-0.63,1.0,15.0,2023,223
1.0,10:39,1.0,10.0,BAL 31,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 9 yards (tackle by Darious Williams),1.0,1.68,15.0,2023,223
1.0,9:45,2.0,1.0,BAL 40,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 18 yards (tackle by Rayshawn Jenkins and Antonio Johnson),1.68,2.79,15.0,2023,223
1.0,9:01,1.0,10.0,JAX 42,0.0,0.0,Lamar Jackson pass complete short left to Keaton Mitchell for 15 yards (tackle by Foyesade Oluokun),2.79,3.78,15.0,2023,223
1.0,8:31,1.0,10.0,JAX 27,0.0,0.0,Gus Edwards right end for 2 yards (tackle by Folorunso Fatukasi and Roy Robertson-Harris),3.78,3.5,15.0,2023,223
1.0,7:53,2.0,8.0,JAX 25,0.0,0.0,Lamar Jackson scrambles up the middle for 11 yards (tackle by Foyesade Oluokun),3.5,4.65,15.0,2023,223
1.0,7:08,1.0,10.0,JAX 14,0.0,0.0,Keaton Mitchell up the middle for 1 yard (tackle by Josh Allen),4.65,4.16,15.0,2023,223
1.0,6:37,2.0,9.0,JAX 13,0.0,0.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,4.16,3.26,15.0,2023,223
1.0,6:30,3.0,9.0,JAX 13,0.0,0.0,"Lamar Jackson pass incomplete short right. Penalty on Lamar Jackson: Intentional Grounding, 12 yards (accepted)",3.26,1.8,15.0,2023,223
1.0,6:26,4.0,21.0,JAX 25,3.0,0.0,Justin Tucker 43 yard field goal good,1.8,3.0,15.0,2023,223
1.0,6:21,,,BAL 35,3.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,223
1.0,6:21,1.0,10.0,JAX 25,3.0,0.0,Travis Etienne right guard for 7 yards (tackle by Michael Pierce),0.61,1.01,15.0,2023,223
1.0,5:46,2.0,3.0,JAX 32,3.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Odafe Oweh),1.01,1.4,15.0,2023,223
1.0,5:18,1.0,10.0,JAX 37,3.0,0.0,Trevor Lawrence pass complete deep middle to Luke Farrell for 28 yards (tackle by Marcus Williams),1.4,3.25,15.0,2023,223
1.0,4:38,1.0,10.0,BAL 35,3.0,0.0,Tank Bigsby up the middle for -2 yards (tackle by Kyle Hamilton),3.25,2.43,15.0,2023,223
1.0,3:53,2.0,12.0,BAL 37,3.0,0.0,Trevor Lawrence pass incomplete short left intended for Travis Etienne,2.43,1.75,15.0,2023,223
1.0,3:49,3.0,12.0,BAL 37,3.0,0.0,Trevor Lawrence pass complete short left to Jamal Agnew for 5 yards (tackle by Marcus Williams),1.75,1.24,15.0,2023,223
1.0,3:07,4.0,7.0,BAL 32,3.0,0.0,Brandon McManus 50 yard field goal no good,1.24,-1.6,15.0,2023,223
1.0,3:03,1.0,10.0,BAL 40,3.0,0.0,Lamar Jackson up the middle for 2 yards (tackle by Rayshawn Jenkins),1.6,1.32,15.0,2023,223
