Unnamed: 0,PIT,IND,week,year,game_id
First Downs,13,19,15.0,2023,211
Rush-Yds-TDs,24-74-1,34-170-0,15.0,2023,211
Cmp-Att-Yd-TD-INT,18-26-172-1-2,18-28-215-3-0,15.0,2023,211
Sacked-Yards,4-30,3-13,15.0,2023,211
Net Pass Yards,142,202,15.0,2023,211
Total Yards,216,372,15.0,2023,211
Fumbles-Lost,1-1,0-0,15.0,2023,211
Turnovers,3,0,15.0,2023,211
Penalties-Yards,8-101,2-10,15.0,2023,211
Third Down Conv.,4-12,6-15,15.0,2023,211
Fourth Down Conv.,2-3,1-2,15.0,2023,211
Time of Possession,26:40,33:20,15.0,2023,211
