Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Broncos,-25.0,3.2,5.03,-1.2,-6.81,-29.35,-21.35,-8.0,0.0,3.14,-4.48,3.73,3.29,0.61,-0.01,15.0,2023,212
Lions,25.0,29.35,21.35,8.0,0.0,-3.2,-5.03,1.2,6.81,-3.14,-3.73,4.48,-0.61,-3.29,0.01,15.0,2023,212
