Unnamed: 0,MIN,CIN,week,year,game_id
First Downs,24,22,15.0,2023,210
Rush-Yds-TDs,30-143-1,22-80-1,15.0,2023,210
Cmp-Att-Yd-TD-INT,26-34-303-2-2,29-42-324-2-1,15.0,2023,210
Sacked-Yards,3-22,5-26,15.0,2023,210
Net Pass Yards,281,298,15.0,2023,210
Total Yards,424,378,15.0,2023,210
Fumbles-Lost,0-0,1-0,15.0,2023,210
Turnovers,2,1,15.0,2023,210
Penalties-Yards,4-22,3-26,15.0,2023,210
Third Down Conv.,5-12,6-13,15.0,2023,210
Fourth Down Conv.,0-1,1-1,15.0,2023,210
Time of Possession,33:41,33:08,15.0,2023,210
