Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,,15.0,2023,214
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jerome Ford left tackle for 6 yards (tackle by Andrew Billings and Tremaine Edmunds),0.61,0.87,15.0,2023,214
1.0,14:25,2.0,4.0,CLE 31,0.0,0.0,Joe Flacco pass incomplete short left intended for Jerome Ford (defended by Jaquan Brisker),0.87,0.17,15.0,2023,214
1.0,14:21,3.0,4.0,CLE 31,0.0,0.0,Joe Flacco pass complete short right to Amari Cooper for 11 yards (tackle by Tyrique Stevenson),0.17,1.73,15.0,2023,214
1.0,13:38,1.0,10.0,CLE 42,0.0,0.0,"Penalty on Andrew Billings: Encroachment, 5 yards (accepted) (no play)",1.73,2.46,15.0,2023,214
1.0,13:00,1.0,5.0,CLE 47,0.0,0.0,Joe Flacco pass incomplete short right intended for Harrison Bryant,2.46,1.86,15.0,2023,214
1.0,13:00,2.0,5.0,CLE 47,0.0,0.0,Jerome Ford right tackle for -3 yards (tackle by DeMarcus Walker),1.86,0.76,15.0,2023,214
1.0,12:22,3.0,8.0,CLE 44,0.0,0.0,Joe Flacco pass incomplete short middle intended for David Njoku,0.76,-0.46,15.0,2023,214
1.0,12:14,4.0,8.0,CLE 44,0.0,0.0,Corey Bojorquez punts 40 yards out of bounds,-0.46,0.14,15.0,2023,214
1.0,12:08,1.0,10.0,CHI 16,0.0,0.0,Justin Fields pass incomplete deep right intended for D.J. Moore,-0.14,-0.66,15.0,2023,214
1.0,12:02,2.0,10.0,CHI 16,0.0,0.0,D'Onta Foreman left tackle for -3 yards (tackle by Dalvin Tomlinson),-0.66,-1.75,15.0,2023,214
1.0,11:18,3.0,13.0,CHI 13,0.0,0.0,Justin Fields pass complete short right to Cole Kmet for 8 yards (tackle by Greg Newsome),-1.75,-1.96,15.0,2023,214
1.0,10:30,4.0,5.0,CHI 21,0.0,0.0,Trenton Gill punts 34 yards downed by Josh Blackwell,-1.96,-1.93,15.0,2023,214
1.0,10:21,1.0,10.0,CLE 45,0.0,0.0,Jerome Ford right tackle for 9 yards (tackle by Jaquan Brisker),1.93,2.6,15.0,2023,214
1.0,9:38,2.0,1.0,CHI 46,0.0,0.0,Joe Flacco pass incomplete deep left intended for Elijah Moore,2.6,1.88,15.0,2023,214
1.0,9:31,3.0,1.0,CHI 46,0.0,0.0,Kareem Hunt right guard for -1 yards (tackle by Justin Jones),1.88,0.13,15.0,2023,214
1.0,8:56,4.0,2.0,CHI 47,0.0,0.0,"Corey Bojorquez punts 30 yards, fair catch by Trent Taylor at CHI-17",0.13,0.06,15.0,2023,214
1.0,8:49,1.0,10.0,CHI 17,0.0,0.0,Khalil Herbert right tackle for 3 yards (tackle by Myles Garrett),-0.06,-0.06,15.0,2023,214
1.0,8:14,2.0,7.0,CHI 20,0.0,0.0,Khalil Herbert right guard for 2 yards (tackle by Jeremiah Owusu-Koramoah),-0.06,-0.62,15.0,2023,214
1.0,7:31,3.0,5.0,CHI 22,0.0,0.0,Justin Fields pass incomplete deep left intended for Darnell Mooney,-0.62,-1.9,15.0,2023,214
1.0,7:25,4.0,5.0,CHI 22,0.0,0.0,"Trenton Gill punts 55 yards, returned by James Proche for 14 yards (tackle by Travis Homer)",-1.9,-1.4,15.0,2023,214
1.0,7:14,1.0,10.0,CLE 37,0.0,0.0,"Joe Flacco pass complete short left to Pierre Strong for 7 yards (tackle by Kyler Gordon and Terell Smith). Penalty on Nick Harris: Offensive Holding, 10 yards (accepted)",1.4,1.2,15.0,2023,214
