Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,15.0,2023,218
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,218
1.0,15:00,1.0,10.0,MIA 25,0.0,0.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 8 yards (tackle by Sauce Gardner and Jordan Whitehead),0.61,1.14,15.0,2023,218
1.0,14:19,2.0,2.0,MIA 33,0.0,0.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 13 yards (tackle by C.J. Mosley),1.14,1.99,15.0,2023,218
1.0,13:40,1.0,10.0,MIA 46,0.0,0.0,Raheem Mostert right end for 1 yard (tackle by Quincy Williams),1.99,1.59,15.0,2023,218
1.0,12:58,2.0,9.0,MIA 47,0.0,0.0,"Tua Tagovailoa pass complete deep right to Jaylen Waddle for no gain (tackle by Sauce Gardner). Penalty on Austin Jackson: Offensive Holding, 10 yards (accepted) (no play)",1.59,0.24,15.0,2023,218
1.0,12:40,2.0,19.0,MIA 37,0.0,0.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 1 yard (tackle by Quincy Williams),0.24,-0.3,15.0,2023,218
1.0,11:58,3.0,18.0,MIA 38,0.0,0.0,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by D.J. Reed and Jordan Whitehead),-0.3,-0.06,15.0,2023,218
1.0,11:18,4.0,6.0,MIA 50,0.0,0.0,"Jake Bailey punts 38 yards, fair catch by Xavier Gipson at NYJ-12",-0.06,0.35,15.0,2023,218
1.0,11:10,1.0,10.0,NYJ 12,0.0,0.0,Breece Hall right guard for 5 yards (tackle by Bradley Chubb),-0.35,-0.23,15.0,2023,218
1.0,10:33,2.0,5.0,NYJ 17,0.0,0.0,Breece Hall left guard for -1 yards (tackle by Bradley Chubb),-0.23,-0.95,15.0,2023,218
1.0,9:51,3.0,6.0,NYJ 16,0.0,0.0,Zach Wilson pass complete short right to Xavier Gipson for 8 yards,-0.95,0.54,15.0,2023,218
