Quarter,Time,Tm,Detail,BAL,JAX,week,year,game_id
1.0,6:21,Ravens,Justin Tucker 43 yard field goal,3,0,15.0,2023,223
2.0,1:12,Ravens,Isaiah Likely 16 yard pass from Lamar Jackson (Justin Tucker kick),10,0,15.0,2023,223
3.0,7:15,Jaguars,Jamal Agnew 65 yard pass from Trevor Lawrence (Brandon McManus kick),10,7,15.0,2023,223
4.0,14:58,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),17,7,15.0,2023,223
,8:00,Ravens,Justin Tucker 26 yard field goal,20,7,15.0,2023,223
,6:01,Ravens,Justin Tucker 34 yard field goal,23,7,15.0,2023,223
