Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,15.0,2023,213
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 63 yards, returned by Cordarrelle Patterson for 21 yards (tackle by Jammie Robinson and Kamu Grugier-Hill)",0.0,0.48,15.0,2023,213
1.0,14:56,1.0,10.0,ATL 23,0.0,0.0,Tyler Allgeier left tackle for 2 yards (tackle by Brian Burns and DeShawn Williams),0.48,0.2,15.0,2023,213
1.0,14:28,2.0,8.0,ATL 25,0.0,0.0,Desmond Ridder pass complete short middle to Tucker Fisk for 9 yards (tackle by Deion Jones and Frankie Luvu),0.2,1.2,15.0,2023,213
1.0,13:52,1.0,10.0,ATL 34,0.0,0.0,Tyler Allgeier left guard for 6 yards (tackle by DeShawn Williams and Xavier Woods),1.2,1.47,15.0,2023,213
1.0,13:12,2.0,4.0,ATL 40,0.0,0.0,Cordarrelle Patterson left tackle for no gain (tackle by Brian Burns and Frankie Luvu),1.47,0.76,15.0,2023,213
1.0,12:35,3.0,4.0,ATL 40,0.0,0.0,Bijan Robinson left tackle for 9 yards (tackle by Frankie Luvu),0.76,2.19,15.0,2023,213
1.0,11:58,1.0,10.0,ATL 49,0.0,0.0,Desmond Ridder pass complete short right to Kyle Pitts for 10 yards (tackle by Donte Jackson),2.19,2.85,15.0,2023,213
1.0,11:20,1.0,10.0,CAR 41,0.0,0.0,Tyler Allgeier right tackle for 5 yards (tackle by Nick Thurman and Kamu Grugier-Hill),2.85,2.98,15.0,2023,213
1.0,10:46,2.0,5.0,CAR 36,0.0,0.0,Tyler Allgeier right tackle for 3 yards (tackle by Derrick Brown and Frankie Luvu),2.98,2.68,15.0,2023,213
1.0,10:11,3.0,2.0,CAR 33,0.0,0.0,Bijan Robinson left end for -1 yards (tackle by Donte Jackson and Frankie Luvu),2.68,1.09,15.0,2023,213
1.0,9:28,4.0,3.0,CAR 34,0.0,0.0,Bijan Robinson left tackle for -1 yards (tackle by Yetur Gross-Matos and Frankie Luvu),1.09,-1.33,15.0,2023,213
1.0,9:21,1.0,10.0,CAR 36,0.0,0.0,Chuba Hubbard left end for 22 yards (tackle by AJ Terrell),1.33,2.79,15.0,2023,213
1.0,8:44,1.0,10.0,ATL 42,0.0,0.0,Chuba Hubbard left guard for no gain (tackle by Jessie Bates and Albert Huggins),2.79,2.24,15.0,2023,213
1.0,8:06,2.0,10.0,ATL 42,0.0,0.0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Jessie Bates),2.24,2.61,15.0,2023,213
1.0,7:29,3.0,2.0,ATL 34,0.0,0.0,Chuba Hubbard up the middle for 1 yard (tackle by Lorenzo Carter),2.61,1.21,15.0,2023,213
1.0,6:47,4.0,1.0,ATL 33,0.0,0.0,Chuba Hubbard up the middle for no gain (tackle by Calais Campbell),1.21,-1.2,15.0,2023,213
1.0,6:43,1.0,10.0,ATL 34,0.0,0.0,Bijan Robinson left end for -2 yards (tackle by Xavier Woods),1.2,0.39,15.0,2023,213
1.0,6:10,2.0,12.0,ATL 32,0.0,0.0,Desmond Ridder scrambles up the middle for 1 yard (tackle by Deion Jones),0.39,-0.16,15.0,2023,213
1.0,5:27,3.0,11.0,ATL 33,0.0,0.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson (defended by Brian Burns),-0.16,-1.18,15.0,2023,213
1.0,5:21,4.0,11.0,ATL 33,0.0,0.0,"Penalty on Micah Abernathy: False Start, 5 yards (accepted) (no play)",-1.18,-1.5,15.0,2023,213
1.0,5:21,4.0,16.0,ATL 28,0.0,0.0,Bradley Pinion punts 35 yards out of bounds,-1.5,-1.4,15.0,2023,213
