Unnamed: 0,TAM,GNB,week,year,game_id
First Downs,22,18,15.0,2023,215
Rush-Yds-TDs,27-99-0,17-60-0,15.0,2023,215
Cmp-Att-Yd-TD-INT,22-28-381-4-0,29-39-284-2-0,15.0,2023,215
Sacked-Yards,5-28,2-23,15.0,2023,215
Net Pass Yards,353,261,15.0,2023,215
Total Yards,452,321,15.0,2023,215
Fumbles-Lost,1-1,2-1,15.0,2023,215
Turnovers,1,1,15.0,2023,215
Penalties-Yards,4-52,4-31,15.0,2023,215
Third Down Conv.,7-11,6-12,15.0,2023,215
Fourth Down Conv.,1-1,0-2,15.0,2023,215
Time of Possession,29:07,30:53,15.0,2023,215
