Quarter,Time,Down,ToGo,Location,HOU,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Texans to receive the opening kickoff.",,,15.0,2023,216
1,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback., touchback.",0.0,0.61,15.0,2023,216
1,15:00,1.0,10.0,HOU 25,0.0,0.0,Case Keenum pass complete short left to Noah Brown for 6 yards (tackle by Roger McCreary),0.61,0.87,15.0,2023,216
1,14:28,2.0,4.0,HOU 31,0.0,0.0,Devin Singletary left end for 1 yard (tackle by Jack Gibbens and Jaleel Johnson),0.87,0.3,15.0,2023,216
1,13:48,3.0,3.0,HOU 32,0.0,0.0,Steven Sims right end for 1 yard (tackle by Amani Hooker),0.3,-1.18,15.0,2023,216
1,13:06,4.0,2.0,HOU 33,0.0,0.0,"Cameron Johnston punts 55 yards, returned by Mason Kinsey for 5 yards (tackle by D'Angelo Ross)",-1.18,0.06,15.0,2023,216
1,12:55,1.0,10.0,TEN 17,0.0,0.0,Will Levis pass complete short left to Derrick Henry for 3 yards (tackle by Christian Harris),-0.06,-0.06,15.0,2023,216
1,12:20,2.0,7.0,TEN 20,0.0,0.0,Derrick Henry left end for 2 yards (tackle by Jonathan Greenard and Maliek Collins),-0.06,-0.62,15.0,2023,216
1,11:42,3.0,5.0,TEN 22,0.0,0.0,Will Levis scrambles up the middle for 4 yards (tackle by Sheldon Rankins),-0.62,-1.63,15.0,2023,216
1,11:29,4.0,1.0,TEN 26,0.0,0.0,Derrick Henry right guard for 1 yard (tackle by Denzel Perryman),-1.63,0.74,15.0,2023,216
1,10:40,1.0,10.0,TEN 27,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Kurt Hinish),0.74,0.47,15.0,2023,216
1,10:02,2.0,8.0,TEN 29,0.0,0.0,Will Levis pass complete deep middle to Treylon Burks for 37 yards (tackle by Jimmie Ward),0.47,3.31,15.0,2023,216
1,9:21,1.0,10.0,HOU 34,0.0,0.0,Derrick Henry right guard for -3 yards (tackle by Derek Barnett),3.31,2.37,15.0,2023,216
1,8:38,2.0,13.0,HOU 37,0.0,0.0,Will Levis pass complete short right to Chigoziem Okonkwo for 3 yards (tackle by Denzel Perryman and Jimmie Ward),2.37,2.08,15.0,2023,216
1,8:09,3.0,10.0,HOU 34,0.0,0.0,"Will Levis pass complete deep left to Nick Westbrook-Ikhine for 33 yards (tackle by Steven Nelson). Penalty on Sheldon Rankins: Defensive Offside, 5 yards (declined)",2.08,6.97,15.0,2023,216
1,7:53,1.0,1.0,HOU 1,0.0,0.0,Derrick Henry up the middle for no gain (tackle by Sheldon Rankins and Derek Barnett),6.97,5.91,15.0,2023,216
1,7:13,2.0,1.0,HOU 1,0.0,6.0,"Will Levis up the middle for 1 yard, touchdown Penalty on HOU: Defensive Offside, 5 yards (declined)",5.91,7.0,15.0,2023,216
1,7:09,,,HOU 15,0.0,6.0,Nick Folk kicks extra point no good,0.0,-1.0,15.0,2023,216
1,7:09,,,TEN 35,0.0,6.0,"Nick Folk kicks off 66 yards, returned by Steven Sims for 29 yards (tackle by Terrell Edmunds)",0.0,0.81,15.0,2023,216
1,7:03,1.0,10.0,HOU 28,0.0,6.0,Case Keenum pass complete short left to Noah Brown for 5 yards (tackle by Denico Autry),0.81,0.94,15.0,2023,216
1,6:32,2.0,5.0,HOU 33,0.0,6.0,Case Keenum pass complete short right to Noah Brown for 6 yards (tackle by Amani Hooker),0.94,1.53,15.0,2023,216
1,6:05,1.0,10.0,HOU 39,0.0,6.0,Devin Singletary right guard for 5 yards (tackle by Marlon Davidson),1.53,1.66,15.0,2023,216
1,5:30,2.0,5.0,HOU 44,0.0,6.0,Case Keenum pass complete short left to John Metchie for 1 yard (tackle by Amani Hooker),1.66,1.09,15.0,2023,216
1,4:51,3.0,4.0,HOU 45,0.0,6.0,Case Keenum pass incomplete short left intended for Xavier Hutchinson (defended by Elijah Molden),1.09,-0.39,15.0,2023,216
1,4:46,4.0,4.0,HOU 45,0.0,6.0,"Cameron Johnston punts 40 yards, fair catch by Mason Kinsey at TEN-15",-0.39,0.22,15.0,2023,216
