Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Case Keenum,HOU,0,0,0,0,0,15.0,2023,216
Davis Mills,HOU,0,0,0,0,0,15.0,2023,216
Devin Singletary,HOU,5,4,49,0,41,15.0,2023,216
Dare Ogunbowale,HOU,1,0,0,0,0,15.0,2023,216
Xavier Hutchinson,HOU,3,0,0,0,0,15.0,2023,216
Dameon Pierce,HOU,0,0,0,0,0,15.0,2023,216
Steven Sims,HOU,1,1,0,0,0,15.0,2023,216
Noah Brown,HOU,11,8,82,1,22,15.0,2023,216
Dalton Schultz,HOU,5,4,58,0,19,15.0,2023,216
Robert Woods,HOU,5,3,30,0,15,15.0,2023,216
Brevin Jordan,HOU,1,1,14,0,14,15.0,2023,216
John Metchie,HOU,1,1,1,0,1,15.0,2023,216
Andrew Beck,HOU,1,1,-5,0,-5,15.0,2023,216
Will Levis,TEN,0,0,0,0,0,15.0,2023,216
Tyjae Spears,TEN,1,1,7,0,7,15.0,2023,216
Derrick Henry,TEN,4,4,1,0,3,15.0,2023,216
Treylon Burks,TEN,3,3,62,0,37,15.0,2023,216
Chris Moore,TEN,4,3,39,0,23,15.0,2023,216
Chigoziem Okonkwo,TEN,3,3,36,0,22,15.0,2023,216
Nick Westbrook-Ikhine,TEN,2,1,33,0,33,15.0,2023,216
DeAndre Hopkins,TEN,9,2,21,0,17,15.0,2023,216
