Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Justin Fields,CHI,7,30,0,2.0,28,4.0,2,0.3,0,,15.0,2023,214
D'Onta Foreman,CHI,6,-6,0,,-10,-1.7,4,0.7,0,,15.0,2023,214
Khalil Herbert,CHI,6,8,0,,3,0.5,5,0.8,0,,15.0,2023,214
Roschon Johnson,CHI,5,36,0,1.0,25,5.0,11,2.2,0,,15.0,2023,214
Velus Jones Jr.,CHI,2,23,0,2.0,20,10.0,3,1.5,0,,15.0,2023,214
Tyler Scott,CHI,1,-3,0,0.0,-3,-3.0,0,0.0,0,,15.0,2023,214
Jerome Ford,CLE,8,20,0,0.0,4,0.5,16,2.0,2,4.0,15.0,2023,214
Kareem Hunt,CLE,7,8,0,1.0,5,0.7,3,0.4,0,,15.0,2023,214
Pierre Strong,CLE,2,2,0,,2,1.0,0,0.0,0,,15.0,2023,214
Joe Flacco,CLE,1,-1,0,0.0,-1,-1.0,0,0.0,0,,15.0,2023,214
