Unnamed: 0,DEN,DET,week,year,game_id
First Downs,20,29,15.0,2023,212
Rush-Yds-TDs,28-83-1,28-185-1,15.0,2023,212
Cmp-Att-Yd-TD-INT,18-32-223-1-0,24-34-278-5-0,15.0,2023,212
Sacked-Yards,2-19,2-15,15.0,2023,212
Net Pass Yards,204,263,15.0,2023,212
Total Yards,287,448,15.0,2023,212
Fumbles-Lost,1-1,0-0,15.0,2023,212
Turnovers,1,0,15.0,2023,212
Penalties-Yards,4-40,2-54,15.0,2023,212
Third Down Conv.,5-13,5-10,15.0,2023,212
Fourth Down Conv.,2-2,1-1,15.0,2023,212
Time of Possession,28:42,31:18,15.0,2023,212
