Unnamed: 0,LAC,LVR,week,year,game_id
First Downs,18,20,15.0,2023,209
Rush-Yds-TDs,28-92-0,26-124-2,15.0,2023,209
Cmp-Att-Yd-TD-INT,23-32-257-3-1,22-36-260-5-0,15.0,2023,209
Sacked-Yards,3-23,1-6,15.0,2023,209
Net Pass Yards,234,254,15.0,2023,209
Total Yards,326,378,15.0,2023,209
Fumbles-Lost,5-4,0-0,15.0,2023,209
Turnovers,5,0,15.0,2023,209
Penalties-Yards,6-65,4-30,15.0,2023,209
Third Down Conv.,6-12,9-16,15.0,2023,209
Fourth Down Conv.,0-1,0-0,15.0,2023,209
Time of Possession,30:09,29:51,15.0,2023,209
