Unnamed: 0,BAL,JAX,week,year,game_id
First Downs,25,16,15.0,2023,223
Rush-Yds-TDs,42-251-1,17-75-0,15.0,2023,223
Cmp-Att-Yd-TD-INT,14-24-171-1-1,25-43-264-1-0,15.0,2023,223
Sacked-Yards,3-26,1-6,15.0,2023,223
Net Pass Yards,145,258,15.0,2023,223
Total Yards,396,333,15.0,2023,223
Fumbles-Lost,0-0,2-2,15.0,2023,223
Turnovers,1,2,15.0,2023,223
Penalties-Yards,6-54,6-47,15.0,2023,223
Third Down Conv.,5-12,3-13,15.0,2023,223
Fourth Down Conv.,1-1,2-3,15.0,2023,223
Time of Possession,34:19,25:41,15.0,2023,223
